delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-11,AT,00 - 01,134.48,158.05,140.02,151.25,151.25,148.71,151.52,306.0,204.6,255.3,2026-07-11T00:00:00
2026-07-11,AT,01 - 02,130.84,155.0,136.38,148.74,148.74,139.37,148.78,358.6,190.0,274.3,2026-07-11T01:00:00
2026-07-11,AT,02 - 03,132.29,150.43,142.67,140.55,140.55,135.54,139.87,299.5,240.4,270.0,2026-07-11T02:00:00
2026-07-11,AT,03 - 04,129.09,145.26,138.57,138.62,138.62,136.25,136.34,161.3,152.3,156.8,2026-07-11T03:00:00
2026-07-11,AT,04 - 05,133.28,155.0,155.0,140.96,140.96,146.38,141.0,219.9,200.2,210.1,2026-07-11T04:00:00
2026-07-11,AT,05 - 06,129.19,155.0,150.32,142.2,142.2,151.55,146.52,233.8,211.1,222.5,2026-07-11T05:00:00
2026-07-11,AT,06 - 07,123.05,145.69,138.11,138.28,138.28,140.19,141.81,395.3,353.3,374.3,2026-07-11T06:00:00
2026-07-11,AT,07 - 08,119.72,174.17,174.17,134.81,134.81,145.57,138.72,409.1,445.4,427.3,2026-07-11T07:00:00
2026-07-11,AT,08 - 09,90.8,124.92,124.9,114.15,114.15,115.21,115.42,414.3,368.1,391.2,2026-07-11T08:00:00
2026-07-11,AT,09 - 10,67.65,122.96,114.04,87.29,87.29,96.91,88.31,352.2,400.3,376.3,2026-07-11T09:00:00
2026-07-11,AT,10 - 11,-15.1,102.5,85.99,28.08,28.08,48.23,29.85,532.0,370.3,451.2,2026-07-11T10:00:00
2026-07-11,AT,11 - 12,-41.78,17.2,9.5,-4.05,-4.05,-5.01,-2.42,1049.1,778.0,913.6,2026-07-11T11:00:00
2026-07-11,AT,12 - 13,-35.0,25.05,19.57,-10.84,-10.84,7.47,-9.3,801.9,650.8,726.4,2026-07-11T12:00:00
2026-07-11,AT,13 - 14,-37.86,33.75,15.0,-7.96,-7.96,19.44,-6.59,778.0,549.9,664.0,2026-07-11T13:00:00
2026-07-11,AT,14 - 15,-30.1,18.0,10.1,-7.18,-7.18,5.97,0.04,861.9,606.6,734.3,2026-07-11T14:00:00
2026-07-11,AT,15 - 16,-28.59,15.35,8.88,-4.76,-4.76,3.2,0.81,766.1,457.7,611.9,2026-07-11T15:00:00
2026-07-11,AT,16 - 17,3.53,35.16,20.11,16.67,16.67,18.38,20.39,772.9,734.5,753.7,2026-07-11T16:00:00
2026-07-11,AT,17 - 18,65.05,119.79,119.79,77.34,77.34,88.92,77.72,1000.6,487.6,744.1,2026-07-11T17:00:00
2026-07-11,AT,18 - 19,101.44,147.87,101.44,124.29,124.29,116.31,123.69,369.1,342.1,355.6,2026-07-11T18:00:00
2026-07-11,AT,19 - 20,128.73,155.18,155.18,142.93,142.93,142.52,143.68,528.5,465.3,496.9,2026-07-11T19:00:00
2026-07-11,AT,20 - 21,139.32,158.21,148.67,150.67,150.67,149.41,151.14,487.8,347.8,417.8,2026-07-11T20:00:00
2026-07-11,AT,21 - 22,140.98,170.7,169.04,152.68,152.68,156.88,153.53,446.8,311.4,379.1,2026-07-11T21:00:00
2026-07-11,AT,22 - 23,133.68,154.51,145.23,148.87,148.87,146.95,148.2,610.8,241.5,426.2,2026-07-11T22:00:00
2026-07-11,AT,23 - 24,133.6,144.99,138.88,139.65,139.65,142.56,139.62,771.4,225.8,498.6,2026-07-11T23:00:00
