delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-08,AT,00 - 01,104.35,143.46,143.46,121.0,121.0,116.87,120.74,1512.4,1867.2,1689.8,2026-07-08T00:00:00
2026-07-08,AT,01 - 02,109.0,144.33,127.54,120.9,120.9,118.88,120.62,1277.5,1559.6,1418.6,2026-07-08T01:00:00
2026-07-08,AT,02 - 03,93.04,142.03,100.0,116.41,116.41,118.87,115.38,1516.3,1871.2,1693.8,2026-07-08T02:00:00
2026-07-08,AT,03 - 04,83.8,125.66,96.09,105.46,105.46,95.07,103.06,2353.2,2695.9,2524.6,2026-07-08T03:00:00
2026-07-08,AT,04 - 05,57.78,123.49,85.11,98.94,98.94,72.2,90.99,2207.0,2578.7,2392.9,2026-07-08T04:00:00
2026-07-08,AT,05 - 06,70.4,127.98,79.0,101.14,101.14,82.18,93.15,2091.3,2168.6,2130.0,2026-07-08T05:00:00
2026-07-08,AT,06 - 07,81.99,137.75,108.0,108.53,108.53,99.48,99.19,1993.9,2163.5,2078.7,2026-07-08T06:00:00
2026-07-08,AT,07 - 08,85.32,136.63,89.39,110.82,110.82,99.63,103.79,2308.8,2278.1,2293.5,2026-07-08T07:00:00
2026-07-08,AT,08 - 09,55.6,124.81,60.01,107.24,107.24,89.04,104.61,1875.9,1373.2,1624.6,2026-07-08T08:00:00
2026-07-08,AT,09 - 10,53.52,115.0,90.0,88.16,88.16,80.87,86.34,1976.6,1904.4,1940.5,2026-07-08T09:00:00
2026-07-08,AT,10 - 11,5.2,65.62,9.01,31.8,31.8,23.04,25.19,2881.1,2859.3,2870.2,2026-07-08T10:00:00
2026-07-08,AT,11 - 12,-22.01,23.0,-22.0,0.01,0.01,-9.44,-4.19,2406.1,2795.6,2600.9,2026-07-08T11:00:00
2026-07-08,AT,12 - 13,-18.1,14.84,-17.99,-5.55,-5.55,-9.93,-9.41,2300.8,3039.7,2670.3,2026-07-08T12:00:00
2026-07-08,AT,13 - 14,-25.89,10.27,-5.0,-7.75,-7.75,-13.81,-12.16,2268.3,3244.4,2756.4,2026-07-08T13:00:00
2026-07-08,AT,14 - 15,-21.23,9.19,-4.91,-10.8,-10.8,-10.08,-14.29,1956.9,2939.9,2448.4,2026-07-08T14:00:00
2026-07-08,AT,15 - 16,-10.29,8.79,-4.53,-5.46,-5.46,-4.22,-7.58,1969.8,2431.4,2200.6,2026-07-08T15:00:00
2026-07-08,AT,16 - 17,-12.41,17.48,-1.0,-1.65,-1.65,-4.87,-3.73,1382.2,1676.4,1529.3,2026-07-08T16:00:00
2026-07-08,AT,17 - 18,0.55,97.02,60.0,23.35,23.35,17.41,18.91,1611.4,1419.1,1515.3,2026-07-08T17:00:00
2026-07-08,AT,18 - 19,66.8,173.0,145.99,96.09,96.09,136.64,103.38,2531.8,2040.7,2286.3,2026-07-08T18:00:00
2026-07-08,AT,19 - 20,101.74,167.99,105.01,125.03,125.03,137.84,127.81,2909.4,2587.6,2748.5,2026-07-08T19:00:00
2026-07-08,AT,20 - 21,98.95,179.22,105.0,144.25,144.25,131.96,146.73,2552.4,2323.4,2437.9,2026-07-08T20:00:00
2026-07-08,AT,21 - 22,106.5,164.8,136.0,146.97,146.97,128.05,143.56,2516.2,2421.1,2468.7,2026-07-08T21:00:00
2026-07-08,AT,22 - 23,136.96,178.89,176.24,148.17,148.17,165.63,146.53,2216.3,1996.4,2106.4,2026-07-08T22:00:00
2026-07-08,AT,23 - 24,128.22,171.0,171.0,142.21,142.21,154.09,144.47,1908.6,1818.9,1863.8,2026-07-08T23:00:00
