delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-12,AT,00 - 01,1479.2,624.2,1479.2,137.44,2026-07-12T00:00:00
2026-07-12,AT,01 - 02,1601.4,546.3,1601.4,131.89,2026-07-12T01:00:00
2026-07-12,AT,02 - 03,1562.6,579.2,1562.6,125.57,2026-07-12T02:00:00
2026-07-12,AT,03 - 04,1366.1,530.7,1366.1,125.1,2026-07-12T03:00:00
2026-07-12,AT,04 - 05,1358.7,611.9,1358.7,122.88,2026-07-12T04:00:00
2026-07-12,AT,05 - 06,1303.5,681.2,1303.5,119.71,2026-07-12T05:00:00
2026-07-12,AT,06 - 07,1491.3,469.4,1491.3,111.61,2026-07-12T06:00:00
2026-07-12,AT,07 - 08,1688.5,565.6,1688.5,99.78,2026-07-12T07:00:00
2026-07-12,AT,08 - 09,1466.8,664.6,1466.8,61.9,2026-07-12T08:00:00
2026-07-12,AT,09 - 10,1435.0,1008.7,1435.0,5.39,2026-07-12T09:00:00
2026-07-12,AT,10 - 11,1367.7,1081.9,1367.7,-0.05,2026-07-12T10:00:00
2026-07-12,AT,11 - 12,1226.0,1281.7,1281.7,0.89,2026-07-12T11:00:00
2026-07-12,AT,12 - 13,1194.9,1426.8,1426.8,2.96,2026-07-12T12:00:00
2026-07-12,AT,13 - 14,1159.9,1497.6,1497.6,4.38,2026-07-12T13:00:00
2026-07-12,AT,14 - 15,1097.3,1562.8,1562.8,3.93,2026-07-12T14:00:00
2026-07-12,AT,15 - 16,1164.7,1377.3,1377.3,3.41,2026-07-12T15:00:00
2026-07-12,AT,16 - 17,1197.1,1283.7,1283.7,11.97,2026-07-12T16:00:00
2026-07-12,AT,17 - 18,1518.9,965.2,1518.9,49.98,2026-07-12T17:00:00
2026-07-12,AT,18 - 19,1692.4,1247.2,1692.4,103.24,2026-07-12T18:00:00
2026-07-12,AT,19 - 20,1524.2,849.9,1524.2,135.75,2026-07-12T19:00:00
2026-07-12,AT,20 - 21,1889.3,905.2,1889.3,140.29,2026-07-12T20:00:00
2026-07-12,AT,21 - 22,1511.2,807.0,1511.2,144.49,2026-07-12T21:00:00
2026-07-12,AT,22 - 23,1469.5,717.7,1469.5,144.93,2026-07-12T22:00:00
2026-07-12,AT,23 - 24,1930.3,572.1,1930.3,139.32,2026-07-12T23:00:00
