delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-13,AT,00:00 - 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:00:00
2026-07-13,AT,00:15 - 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:15:00
2026-07-13,AT,00:30 - 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:30:00
2026-07-13,AT,00:45 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:45:00
2026-07-13,AT,01:00 - 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:00:00
2026-07-13,AT,01:15 - 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:15:00
2026-07-13,AT,01:30 - 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:30:00
2026-07-13,AT,01:45 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:45:00
2026-07-13,AT,02:00 - 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:00:00
2026-07-13,AT,02:15 - 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:15:00
2026-07-13,AT,02:30 - 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:30:00
2026-07-13,AT,02:45 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:45:00
2026-07-13,AT,03:00 - 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:00:00
2026-07-13,AT,03:15 - 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:15:00
2026-07-13,AT,03:30 - 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:30:00
2026-07-13,AT,03:45 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:45:00
2026-07-13,AT,04:00 - 04:15,131.69,131.69,131.69,131.69,0.0,0.0,0.0,2026-07-13T04:00:00
2026-07-13,AT,04:15 - 04:30,126.1,126.1,126.1,126.1,0.0,0.0,0.0,2026-07-13T04:15:00
2026-07-13,AT,04:30 - 04:45,126.12,126.12,126.12,126.12,0.0,0.0,0.0,2026-07-13T04:30:00
2026-07-13,AT,04:45 - 05:00,128.25,128.25,128.25,128.25,0.0,0.0,0.0,2026-07-13T04:45:00
2026-07-13,AT,05:00 - 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:00:00
2026-07-13,AT,05:15 - 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:15:00
2026-07-13,AT,05:30 - 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:30:00
2026-07-13,AT,05:45 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:45:00
2026-07-13,AT,06:00 - 06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T06:00:00
2026-07-13,AT,06:15 - 06:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T06:15:00
2026-07-13,AT,06:30 - 06:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T06:30:00
2026-07-13,AT,06:45 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T06:45:00
2026-07-13,AT,07:00 - 07:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T07:00:00
2026-07-13,AT,07:15 - 07:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T07:15:00
2026-07-13,AT,07:30 - 07:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T07:30:00
