delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-13,BE,00 - 01,2644.4,968.7,2644.4,129.73,2026-07-13T00:00:00
2026-07-13,BE,01 - 02,2832.5,868.5,2832.5,123.7,2026-07-13T01:00:00
2026-07-13,BE,02 - 03,2924.7,812.0,2924.7,119.41,2026-07-13T02:00:00
2026-07-13,BE,03 - 04,2782.6,743.4,2782.6,120.28,2026-07-13T03:00:00
2026-07-13,BE,04 - 05,2600.4,692.4,2600.4,123.3,2026-07-13T04:00:00
2026-07-13,BE,05 - 06,2650.7,1067.7,2650.7,132.04,2026-07-13T05:00:00
2026-07-13,BE,06 - 07,2875.1,1544.3,2875.1,147.41,2026-07-13T06:00:00
2026-07-13,BE,07 - 08,3238.4,1424.6,3238.4,142.82,2026-07-13T07:00:00
2026-07-13,BE,08 - 09,3817.4,1262.4,3817.4,137.14,2026-07-13T08:00:00
2026-07-13,BE,09 - 10,4621.9,1072.0,4621.9,121.63,2026-07-13T09:00:00
2026-07-13,BE,10 - 11,4964.5,1230.5,4964.5,98.63,2026-07-13T10:00:00
2026-07-13,BE,11 - 12,5372.1,1564.7,5372.1,75.35,2026-07-13T11:00:00
2026-07-13,BE,12 - 13,5375.4,1924.7,5375.4,68.16,2026-07-13T12:00:00
2026-07-13,BE,13 - 14,5395.4,2003.1,5395.4,56.51,2026-07-13T13:00:00
2026-07-13,BE,14 - 15,5295.9,2072.2,5295.9,73.21,2026-07-13T14:00:00
2026-07-13,BE,15 - 16,5121.7,2039.4,5121.7,88.42,2026-07-13T15:00:00
2026-07-13,BE,16 - 17,4683.4,1674.6,4683.4,95.89,2026-07-13T16:00:00
2026-07-13,BE,17 - 18,3451.9,1374.3,3451.9,121.7,2026-07-13T17:00:00
2026-07-13,BE,18 - 19,3068.9,1104.4,3068.9,129.26,2026-07-13T18:00:00
2026-07-13,BE,19 - 20,4138.9,1848.0,4138.9,141.03,2026-07-13T19:00:00
2026-07-13,BE,20 - 21,3672.6,2503.5,3672.6,157.57,2026-07-13T20:00:00
2026-07-13,BE,21 - 22,3655.4,2558.6,3655.4,166.15,2026-07-13T21:00:00
2026-07-13,BE,22 - 23,3683.1,2573.7,3683.1,159.07,2026-07-13T22:00:00
2026-07-13,BE,23 - 24,3488.8,1833.5,3488.8,144.06,2026-07-13T23:00:00
