delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-12,CH,00 - 01,3014.8,3014.8,3014.8,139.65,2026-07-12T00:00:00
2026-07-12,CH,01 - 02,3042.8,3042.8,3042.8,134.66,2026-07-12T01:00:00
2026-07-12,CH,02 - 03,2708.5,2708.5,2708.5,128.85,2026-07-12T02:00:00
2026-07-12,CH,03 - 04,2429.7,2429.7,2429.7,125.86,2026-07-12T03:00:00
2026-07-12,CH,04 - 05,2578.7,2578.7,2578.7,125.0,2026-07-12T04:00:00
2026-07-12,CH,05 - 06,2656.8,2656.8,2656.8,122.21,2026-07-12T05:00:00
2026-07-12,CH,06 - 07,2789.7,2789.7,2789.7,117.62,2026-07-12T06:00:00
2026-07-12,CH,07 - 08,3148.2,3148.2,3148.2,104.0,2026-07-12T07:00:00
2026-07-12,CH,08 - 09,3330.4,3330.4,3330.4,70.61,2026-07-12T08:00:00
2026-07-12,CH,09 - 10,3687.5,3687.5,3687.5,11.42,2026-07-12T09:00:00
2026-07-12,CH,10 - 11,3773.4,3773.4,3773.4,3.0,2026-07-12T10:00:00
2026-07-12,CH,11 - 12,3865.0,3865.0,3865.0,0.39,2026-07-12T11:00:00
2026-07-12,CH,12 - 13,4322.9,4322.9,4322.9,0.5,2026-07-12T12:00:00
2026-07-12,CH,13 - 14,4127.7,4127.7,4127.7,-3.05,2026-07-12T13:00:00
2026-07-12,CH,14 - 15,3955.0,3955.0,3955.0,-4.0,2026-07-12T14:00:00
2026-07-12,CH,15 - 16,3843.5,3843.5,3843.5,2.74,2026-07-12T15:00:00
2026-07-12,CH,16 - 17,3820.4,3820.4,3820.4,18.9,2026-07-12T16:00:00
2026-07-12,CH,17 - 18,3885.5,3885.5,3885.5,68.81,2026-07-12T17:00:00
2026-07-12,CH,18 - 19,3216.6,3216.6,3216.6,116.93,2026-07-12T18:00:00
2026-07-12,CH,19 - 20,3024.9,3024.9,3024.9,138.1,2026-07-12T19:00:00
2026-07-12,CH,20 - 21,3946.9,3946.9,3946.9,147.49,2026-07-12T20:00:00
2026-07-12,CH,21 - 22,4279.0,4279.0,4279.0,149.32,2026-07-12T21:00:00
2026-07-12,CH,22 - 23,4191.8,4191.8,4191.8,149.03,2026-07-12T22:00:00
2026-07-12,CH,23 - 24,3410.7,3410.7,3410.7,141.94,2026-07-12T23:00:00
