delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-09,DE-LU,00:00 - 00:15,7030.7,6623.5,7030.7,149.97,2026-07-09T00:00:00
2026-07-09,DE-LU,00:15 - 00:30,7063.4,6591.4,7063.4,143.98,2026-07-09T00:15:00
2026-07-09,DE-LU,00:30 - 00:45,7068.0,6528.6,7068.0,136.93,2026-07-09T00:30:00
2026-07-09,DE-LU,00:45 - 01:00,7038.2,6487.1,7038.2,130.43,2026-07-09T00:45:00
2026-07-09,DE-LU,01:00 - 01:15,7107.8,6334.6,7107.8,140.32,2026-07-09T01:00:00
2026-07-09,DE-LU,01:15 - 01:30,7098.9,6315.2,7098.9,133.19,2026-07-09T01:15:00
2026-07-09,DE-LU,01:30 - 01:45,7119.4,6305.0,7119.4,130.89,2026-07-09T01:30:00
2026-07-09,DE-LU,01:45 - 02:00,7137.6,6315.4,7137.6,128.43,2026-07-09T01:45:00
2026-07-09,DE-LU,02:00 - 02:15,7104.0,6271.6,7104.0,128.44,2026-07-09T02:00:00
2026-07-09,DE-LU,02:15 - 02:30,7142.8,6264.2,7142.8,127.48,2026-07-09T02:15:00
2026-07-09,DE-LU,02:30 - 02:45,7197.0,6242.8,7197.0,127.0,2026-07-09T02:30:00
2026-07-09,DE-LU,02:45 - 03:00,7164.2,6232.5,7164.2,126.37,2026-07-09T02:45:00
2026-07-09,DE-LU,03:00 - 03:15,7278.0,6127.3,7278.0,124.96,2026-07-09T03:00:00
2026-07-09,DE-LU,03:15 - 03:30,7290.1,6100.6,7290.1,124.85,2026-07-09T03:15:00
2026-07-09,DE-LU,03:30 - 03:45,7221.2,6061.9,7221.2,124.61,2026-07-09T03:30:00
2026-07-09,DE-LU,03:45 - 04:00,7193.5,6019.7,7193.5,124.97,2026-07-09T03:45:00
2026-07-09,DE-LU,04:00 - 04:15,7273.1,5907.9,7273.1,121.12,2026-07-09T04:00:00
2026-07-09,DE-LU,04:15 - 04:30,7242.7,5856.5,7242.7,124.01,2026-07-09T04:15:00
2026-07-09,DE-LU,04:30 - 04:45,7290.9,5807.4,7290.9,126.59,2026-07-09T04:30:00
2026-07-09,DE-LU,04:45 - 05:00,7365.8,5848.6,7365.8,130.05,2026-07-09T04:45:00
2026-07-09,DE-LU,05:00 - 05:15,7539.4,5946.7,7539.4,127.86,2026-07-09T05:00:00
2026-07-09,DE-LU,05:15 - 05:30,7597.2,5957.2,7597.2,131.66,2026-07-09T05:15:00
2026-07-09,DE-LU,05:30 - 05:45,7700.5,5985.4,7700.5,135.0,2026-07-09T05:30:00
2026-07-09,DE-LU,05:45 - 06:00,7860.2,6118.2,7860.2,141.3,2026-07-09T05:45:00
2026-07-09,DE-LU,06:00 - 06:15,7992.0,6302.7,7992.0,142.51,2026-07-09T06:00:00
2026-07-09,DE-LU,06:15 - 06:30,8188.0,6502.5,8188.0,152.43,2026-07-09T06:15:00
2026-07-09,DE-LU,06:30 - 06:45,8345.0,6704.6,8345.0,153.73,2026-07-09T06:30:00
2026-07-09,DE-LU,06:45 - 07:00,8515.5,6899.3,8515.5,147.93,2026-07-09T06:45:00
2026-07-09,DE-LU,07:00 - 07:15,8704.5,7198.9,8704.5,164.44,2026-07-09T07:00:00
2026-07-09,DE-LU,07:15 - 07:30,8868.5,7422.8,8868.5,151.41,2026-07-09T07:15:00
2026-07-09,DE-LU,07:30 - 07:45,8982.6,7493.7,8982.6,143.06,2026-07-09T07:30:00
2026-07-09,DE-LU,07:45 - 08:00,9114.1,7751.1,9114.1,131.73,2026-07-09T07:45:00
