delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-11,DK2,00 - 01,2040.9,233.7,2040.9,145.61,2026-07-11T00:00:00
2026-07-11,DK2,01 - 02,1817.1,293.2,1817.1,143.84,2026-07-11T01:00:00
2026-07-11,DK2,02 - 03,1670.6,471.3,1670.6,140.91,2026-07-11T02:00:00
2026-07-11,DK2,03 - 04,1596.7,544.8,1596.7,140.32,2026-07-11T03:00:00
2026-07-11,DK2,04 - 05,1536.8,565.6,1536.8,140.09,2026-07-11T04:00:00
2026-07-11,DK2,05 - 06,1499.1,759.7,1499.1,138.43,2026-07-11T05:00:00
2026-07-11,DK2,06 - 07,1430.2,767.0,1430.2,136.09,2026-07-11T06:00:00
2026-07-11,DK2,07 - 08,1603.7,712.6,1603.7,124.25,2026-07-11T07:00:00
2026-07-11,DK2,08 - 09,2594.4,1089.7,2594.4,114.87,2026-07-11T08:00:00
2026-07-11,DK2,09 - 10,2572.8,1348.9,2572.8,74.04,2026-07-11T09:00:00
2026-07-11,DK2,10 - 11,2930.3,1469.2,2930.3,17.06,2026-07-11T10:00:00
2026-07-11,DK2,11 - 12,3117.4,1863.5,3117.4,10.17,2026-07-11T11:00:00
2026-07-11,DK2,12 - 13,3125.7,1857.0,3125.7,10.88,2026-07-11T12:00:00
2026-07-11,DK2,13 - 14,3128.0,1858.7,3128.0,9.96,2026-07-11T13:00:00
2026-07-11,DK2,14 - 15,3033.8,1876.7,3033.8,9.26,2026-07-11T14:00:00
2026-07-11,DK2,15 - 16,3078.0,1835.9,3078.0,8.09,2026-07-11T15:00:00
2026-07-11,DK2,16 - 17,3020.1,1666.3,3020.1,12.39,2026-07-11T16:00:00
2026-07-11,DK2,17 - 18,2624.8,1661.2,2624.8,74.97,2026-07-11T17:00:00
2026-07-11,DK2,18 - 19,2310.5,1325.4,2310.5,123.44,2026-07-11T18:00:00
2026-07-11,DK2,19 - 20,1825.2,873.6,1825.2,141.91,2026-07-11T19:00:00
2026-07-11,DK2,20 - 21,1698.5,702.1,1698.5,151.96,2026-07-11T20:00:00
2026-07-11,DK2,21 - 22,1654.5,586.9,1654.5,156.4,2026-07-11T21:00:00
2026-07-11,DK2,22 - 23,1614.6,670.2,1614.6,154.9,2026-07-11T22:00:00
2026-07-11,DK2,23 - 24,1486.0,797.2,1486.0,145.63,2026-07-11T23:00:00
