delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-08,FI,00 - 01,15.0,43.73,20.06,25.36,25.36,105.9,88.9,97.4,2026-07-08T00:00:00
2026-07-08,FI,01 - 02,12.33,30.01,30.01,23.28,23.28,80.1,31.5,55.8,2026-07-08T01:00:00
2026-07-08,FI,02 - 03,10.71,45.7,45.7,24.74,24.74,73.3,35.9,54.6,2026-07-08T02:00:00
2026-07-08,FI,03 - 04,14.64,36.71,28.6,22.66,22.66,82.5,48.4,65.5,2026-07-08T03:00:00
2026-07-08,FI,04 - 05,9.3,46.61,10.15,26.49,26.49,70.5,59.7,65.1,2026-07-08T04:00:00
2026-07-08,FI,05 - 06,13.74,34.4,29.13,28.35,28.35,50.6,35.1,42.9,2026-07-08T05:00:00
2026-07-08,FI,06 - 07,-1.0,39.32,-1.0,27.77,27.77,55.9,63.7,59.8,2026-07-08T06:00:00
2026-07-08,FI,07 - 08,2.0,38.03,2.0,23.45,23.45,81.2,115.7,98.5,2026-07-08T07:00:00
2026-07-08,FI,08 - 09,-4.05,25.27,-3.5,13.62,13.62,42.1,73.2,57.7,2026-07-08T08:00:00
2026-07-08,FI,09 - 10,0.96,21.92,2.0,10.34,10.34,86.4,130.2,108.3,2026-07-08T09:00:00
2026-07-08,FI,10 - 11,-2.45,58.14,0.5,10.09,10.09,75.9,121.5,98.7,2026-07-08T10:00:00
2026-07-08,FI,11 - 12,-19.0,20.0,5.6,6.63,6.63,69.0,130.5,99.8,2026-07-08T11:00:00
2026-07-08,FI,12 - 13,-12.7,18.0,-3.89,5.01,5.01,106.1,172.4,139.3,2026-07-08T12:00:00
2026-07-08,FI,13 - 14,-11.71,15.19,0.0,2.42,2.42,147.2,197.4,172.3,2026-07-08T13:00:00
2026-07-08,FI,14 - 15,-5.01,14.67,1.0,2.95,2.95,102.1,188.9,145.5,2026-07-08T14:00:00
2026-07-08,FI,15 - 16,-6.46,13.22,0.0,1.26,1.26,67.8,250.2,159.0,2026-07-08T15:00:00
2026-07-08,FI,16 - 17,-4.5,14.51,-2.4,1.37,1.37,65.0,248.9,157.0,2026-07-08T16:00:00
2026-07-08,FI,17 - 18,-7.67,18.3,-1.3,0.36,0.36,43.2,164.9,104.1,2026-07-08T17:00:00
2026-07-08,FI,18 - 19,-8.54,22.3,-1.5,-0.5,-0.5,38.4,186.7,112.6,2026-07-08T18:00:00
2026-07-08,FI,19 - 20,-5.25,24.25,6.12,1.45,1.45,70.8,209.2,140.0,2026-07-08T19:00:00
2026-07-08,FI,20 - 21,-21.45,20.23,-9.0,-3.31,-3.31,40.7,123.7,82.2,2026-07-08T20:00:00
2026-07-08,FI,21 - 22,-22.0,22.74,-15.0,-8.41,-8.41,38.5,121.4,80.0,2026-07-08T21:00:00
2026-07-08,FI,22 - 23,-24.0,14.37,-16.59,-12.63,-12.63,38.4,89.9,64.2,2026-07-08T22:00:00
2026-07-08,FI,23 - 24,-17.1,9.08,-4.0,-8.24,-8.24,37.6,82.4,60.0,2026-07-08T23:00:00
