delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-10,FI,00:00 - 00:15,90.0,199.0,90.0,145.55,145.55,164.21,146.02,198.2,112.6,155.4,2026-07-10T00:00:00
2026-07-10,FI,00:15 - 00:30,84.0,159.51,84.0,138.42,138.42,97.36,138.91,120.3,60.1,90.2,2026-07-10T00:15:00
2026-07-10,FI,00:30 - 00:45,74.86,157.36,114.5,127.57,127.57,110.75,127.6,53.7,82.7,68.2,2026-07-10T00:30:00
2026-07-10,FI,00:45 - 01:00,75.0,133.15,95.0,119.59,119.59,91.08,119.68,71.1,66.8,69.0,2026-07-10T00:45:00
2026-07-10,FI,01:00 - 01:15,95.88,141.99,141.4,129.43,129.43,129.52,129.52,69.6,92.7,81.2,2026-07-10T01:00:00
2026-07-10,FI,01:15 - 01:30,80.98,136.3,134.1,124.06,124.06,123.65,123.65,101.1,120.6,110.9,2026-07-10T01:15:00
2026-07-10,FI,01:30 - 01:45,93.93,133.8,106.7,121.14,121.14,119.67,119.67,78.7,151.0,114.9,2026-07-10T01:30:00
2026-07-10,FI,01:45 - 02:00,72.63,131.46,102.94,118.39,118.39,114.37,114.37,68.6,56.6,62.6,2026-07-10T01:45:00
2026-07-10,FI,02:00 - 02:15,120.89,133.88,122.0,127.18,127.18,126.37,126.37,59.1,84.4,71.8,2026-07-10T02:00:00
2026-07-10,FI,02:15 - 02:30,116.41,133.33,123.26,121.05,121.05,120.52,120.52,44.5,89.3,66.9,2026-07-10T02:15:00
2026-07-10,FI,02:30 - 02:45,70.0,147.74,147.74,108.96,108.96,134.77,105.25,41.4,104.7,73.1,2026-07-10T02:30:00
2026-07-10,FI,02:45 - 03:00,62.76,125.3,125.3,89.39,89.39,118.31,88.49,48.6,62.8,55.7,2026-07-10T02:45:00
2026-07-10,FI,03:00 - 03:15,100.0,127.16,123.8,116.43,116.43,112.74,112.74,40.8,42.1,41.5,2026-07-10T03:00:00
2026-07-10,FI,03:15 - 03:30,72.5,125.54,121.66,113.74,113.74,101.38,101.38,28.7,40.0,34.4,2026-07-10T03:15:00
2026-07-10,FI,03:30 - 03:45,62.38,122.02,113.2,93.62,93.62,89.83,89.83,8.8,4.5,6.7,2026-07-10T03:30:00
2026-07-10,FI,03:45 - 04:00,43.03,112.9,43.03,88.57,88.57,88.22,88.22,34.7,25.5,30.1,2026-07-10T03:45:00
2026-07-10,FI,04:00 - 04:15,57.81,123.6,109.13,106.51,106.51,109.18,106.09,13.8,25.9,19.9,2026-07-10T04:00:00
2026-07-10,FI,04:15 - 04:30,89.99,125.51,99.74,109.05,109.05,107.73,107.73,24.8,18.4,21.6,2026-07-10T04:15:00
2026-07-10,FI,04:30 - 04:45,73.19,127.74,84.62,115.26,115.26,113.87,113.87,17.1,28.7,22.9,2026-07-10T04:30:00
2026-07-10,FI,04:45 - 05:00,38.44,150.44,38.44,112.99,112.99,102.38,102.38,15.3,26.7,21.0,2026-07-10T04:45:00
2026-07-10,FI,05:00 - 05:15,85.3,139.67,96.4,109.57,109.57,110.05,110.05,24.6,29.3,27.0,2026-07-10T05:00:00
2026-07-10,FI,05:15 - 05:30,82.57,129.49,119.35,124.73,124.73,121.68,121.68,15.4,29.4,22.4,2026-07-10T05:15:00
2026-07-10,FI,05:30 - 05:45,103.64,134.1,134.1,128.29,128.29,126.39,126.39,30.3,51.0,40.7,2026-07-10T05:30:00
