delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-11,FI,00:00 - 00:15,153.5,23.0,153.5,26.13,2026-07-11T00:00:00
2026-07-11,FI,00:15 - 00:30,150.6,21.8,150.6,21.39,2026-07-11T00:15:00
2026-07-11,FI,00:30 - 00:45,145.5,21.9,145.5,16.49,2026-07-11T00:30:00
2026-07-11,FI,00:45 - 01:00,142.2,22.0,142.2,16.75,2026-07-11T00:45:00
2026-07-11,FI,01:00 - 01:15,147.2,21.8,147.2,21.01,2026-07-11T01:00:00
2026-07-11,FI,01:15 - 01:30,145.7,21.4,145.7,17.05,2026-07-11T01:15:00
2026-07-11,FI,01:30 - 01:45,143.0,21.0,143.0,14.38,2026-07-11T01:30:00
2026-07-11,FI,01:45 - 02:00,141.3,20.3,141.3,17.97,2026-07-11T01:45:00
2026-07-11,FI,02:00 - 02:15,144.6,21.5,144.6,17.8,2026-07-11T02:00:00
2026-07-11,FI,02:15 - 02:30,139.1,19.5,139.1,17.73,2026-07-11T02:15:00
2026-07-11,FI,02:30 - 02:45,139.3,19.0,139.3,17.61,2026-07-11T02:30:00
2026-07-11,FI,02:45 - 03:00,141.4,18.7,141.4,15.81,2026-07-11T02:45:00
2026-07-11,FI,03:00 - 03:15,148.5,18.3,148.5,16.5,2026-07-11T03:00:00
2026-07-11,FI,03:15 - 03:30,146.4,21.8,146.4,18.58,2026-07-11T03:15:00
2026-07-11,FI,03:30 - 03:45,151.4,17.9,151.4,17.86,2026-07-11T03:30:00
2026-07-11,FI,03:45 - 04:00,150.7,21.1,150.7,14.51,2026-07-11T03:45:00
2026-07-11,FI,04:00 - 04:15,148.6,20.1,148.6,13.99,2026-07-11T04:00:00
2026-07-11,FI,04:15 - 04:30,152.7,20.2,152.7,11.4,2026-07-11T04:15:00
2026-07-11,FI,04:30 - 04:45,148.1,20.4,148.1,21.57,2026-07-11T04:30:00
2026-07-11,FI,04:45 - 05:00,147.6,20.6,147.6,20.56,2026-07-11T04:45:00
2026-07-11,FI,05:00 - 05:15,153.3,9.6,153.3,16.2,2026-07-11T05:00:00
2026-07-11,FI,05:15 - 05:30,149.5,9.9,149.5,18.92,2026-07-11T05:15:00
2026-07-11,FI,05:30 - 05:45,154.4,10.2,154.4,19.32,2026-07-11T05:30:00
2026-07-11,FI,05:45 - 06:00,156.8,10.7,156.8,19.44,2026-07-11T05:45:00
2026-07-11,FI,06:00 - 06:15,154.6,4.9,154.6,7.57,2026-07-11T06:00:00
2026-07-11,FI,06:15 - 06:30,156.9,12.0,156.9,10.78,2026-07-11T06:15:00
2026-07-11,FI,06:30 - 06:45,154.1,12.7,154.1,26.5,2026-07-11T06:30:00
2026-07-11,FI,06:45 - 07:00,159.1,13.7,159.1,30.07,2026-07-11T06:45:00
2026-07-11,FI,07:00 - 07:15,150.4,14.6,150.4,21.62,2026-07-11T07:00:00
2026-07-11,FI,07:15 - 07:30,151.7,15.4,151.7,25.7,2026-07-11T07:15:00
2026-07-11,FI,07:30 - 07:45,154.2,16.1,154.2,21.3,2026-07-11T07:30:00
2026-07-11,FI,07:45 - 08:00,154.8,17.0,154.8,21.6,2026-07-11T07:45:00
2026-07-11,FI,08:00 - 08:15,158.5,18.7,158.5,11.69,2026-07-11T08:00:00
2026-07-11,FI,08:15 - 08:30,156.7,19.6,156.7,20.72,2026-07-11T08:15:00
2026-07-11,FI,08:30 - 08:45,156.4,20.6,156.4,23.5,2026-07-11T08:30:00
2026-07-11,FI,08:45 - 09:00,158.5,21.2,158.5,22.98,2026-07-11T08:45:00
2026-07-11,FI,09:00 - 09:15,150.9,20.8,150.9,26.1,2026-07-11T09:00:00
2026-07-11,FI,09:15 - 09:30,152.1,21.5,152.1,23.22,2026-07-11T09:15:00
2026-07-11,FI,09:30 - 09:45,153.3,22.1,153.3,22.22,2026-07-11T09:30:00
2026-07-11,FI,09:45 - 10:00,153.6,21.7,153.6,21.44,2026-07-11T09:45:00
2026-07-11,FI,10:00 - 10:15,151.8,22.4,151.8,36.64,2026-07-11T10:00:00
2026-07-11,FI,10:15 - 10:30,153.4,24.2,153.4,19.22,2026-07-11T10:15:00
2026-07-11,FI,10:30 - 10:45,157.7,18.3,157.7,6.96,2026-07-11T10:30:00
2026-07-11,FI,10:45 - 11:00,157.6,19.0,157.6,5.47,2026-07-11T10:45:00
2026-07-11,FI,11:00 - 11:15,158.5,34.1,158.5,12.45,2026-07-11T11:00:00
2026-07-11,FI,11:15 - 11:30,158.3,34.5,158.3,11.52,2026-07-11T11:15:00
2026-07-11,FI,11:30 - 11:45,158.3,35.0,158.3,11.9,2026-07-11T11:30:00
2026-07-11,FI,11:45 - 12:00,158.7,34.9,158.7,11.01,2026-07-11T11:45:00
2026-07-11,FI,12:00 - 12:15,154.7,32.8,154.7,15.46,2026-07-11T12:00:00
2026-07-11,FI,12:15 - 12:30,154.7,33.2,154.7,12.19,2026-07-11T12:15:00
2026-07-11,FI,12:30 - 12:45,155.4,33.6,155.4,11.89,2026-07-11T12:30:00
2026-07-11,FI,12:45 - 13:00,155.7,33.8,155.7,11.23,2026-07-11T12:45:00
2026-07-11,FI,13:00 - 13:15,156.1,37.5,156.1,13.7,2026-07-11T13:00:00
2026-07-11,FI,13:15 - 13:30,157.6,36.6,157.6,11.75,2026-07-11T13:15:00
2026-07-11,FI,13:30 - 13:45,157.9,36.6,157.9,11.48,2026-07-11T13:30:00
2026-07-11,FI,13:45 - 14:00,158.5,36.3,158.5,10.0,2026-07-11T13:45:00
2026-07-11,FI,14:00 - 14:15,157.6,35.9,157.6,12.57,2026-07-11T14:00:00
2026-07-11,FI,14:15 - 14:30,157.6,35.8,157.6,11.3,2026-07-11T14:15:00
2026-07-11,FI,14:30 - 14:45,158.2,35.8,158.2,10.8,2026-07-11T14:30:00
2026-07-11,FI,14:45 - 15:00,159.7,31.7,159.7,9.99,2026-07-11T14:45:00
2026-07-11,FI,15:00 - 15:15,159.3,36.8,159.3,10.63,2026-07-11T15:00:00
2026-07-11,FI,15:15 - 15:30,159.0,33.2,159.0,10.0,2026-07-11T15:15:00
2026-07-11,FI,15:30 - 15:45,163.7,36.9,163.7,10.53,2026-07-11T15:30:00
2026-07-11,FI,15:45 - 16:00,164.9,36.5,164.9,11.01,2026-07-11T15:45:00
2026-07-11,FI,16:00 - 16:15,163.2,23.4,163.2,7.85,2026-07-11T16:00:00
2026-07-11,FI,16:15 - 16:30,161.6,22.2,161.6,9.46,2026-07-11T16:15:00
2026-07-11,FI,16:30 - 16:45,163.1,20.8,163.1,9.38,2026-07-11T16:30:00
2026-07-11,FI,16:45 - 17:00,164.5,29.7,164.5,25.05,2026-07-11T16:45:00
2026-07-11,FI,17:00 - 17:15,170.3,29.0,170.3,14.8,2026-07-11T17:00:00
2026-07-11,FI,17:15 - 17:30,172.3,28.6,172.3,18.03,2026-07-11T17:15:00
2026-07-11,FI,17:30 - 17:45,172.6,28.6,172.6,27.66,2026-07-11T17:30:00
2026-07-11,FI,17:45 - 18:00,171.8,28.5,171.8,20.15,2026-07-11T17:45:00
2026-07-11,FI,18:00 - 18:15,176.9,28.0,176.9,18.55,2026-07-11T18:00:00
2026-07-11,FI,18:15 - 18:30,181.6,28.7,181.6,26.39,2026-07-11T18:15:00
2026-07-11,FI,18:30 - 18:45,181.7,28.2,181.7,18.45,2026-07-11T18:30:00
2026-07-11,FI,18:45 - 19:00,180.9,26.7,180.9,14.73,2026-07-11T18:45:00
2026-07-11,FI,19:00 - 19:15,184.7,27.4,184.7,27.56,2026-07-11T19:00:00
2026-07-11,FI,19:15 - 19:30,183.5,26.4,183.5,15.96,2026-07-11T19:15:00
2026-07-11,FI,19:30 - 19:45,182.4,27.8,182.4,13.93,2026-07-11T19:30:00
