delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-11,FR,00 - 01,12820.6,18802.5,18802.5,151.01,2026-07-11T00:00:00
2026-07-11,FR,01 - 02,12516.9,19968.1,19968.1,144.14,2026-07-11T01:00:00
2026-07-11,FR,02 - 03,11885.4,20196.1,20196.1,135.0,2026-07-11T02:00:00
2026-07-11,FR,03 - 04,11254.3,20246.1,20246.1,125.78,2026-07-11T03:00:00
2026-07-11,FR,04 - 05,10845.1,19677.3,19677.3,124.79,2026-07-11T04:00:00
2026-07-11,FR,05 - 06,10519.0,19246.5,19246.5,114.82,2026-07-11T05:00:00
2026-07-11,FR,06 - 07,10022.7,18677.3,18677.3,118.46,2026-07-11T06:00:00
2026-07-11,FR,07 - 08,10636.7,18097.8,18097.8,125.61,2026-07-11T07:00:00
2026-07-11,FR,08 - 09,12425.0,17480.1,17480.1,114.12,2026-07-11T08:00:00
2026-07-11,FR,09 - 10,14793.2,19000.3,19000.3,71.47,2026-07-11T09:00:00
2026-07-11,FR,10 - 11,17508.5,19925.1,19925.1,16.09,2026-07-11T10:00:00
2026-07-11,FR,11 - 12,20345.1,21628.7,21628.7,0.33,2026-07-11T11:00:00
2026-07-11,FR,12 - 13,23189.0,21936.2,23189.0,0.0,2026-07-11T12:00:00
2026-07-11,FR,13 - 14,23288.6,21374.4,23288.6,-0.01,2026-07-11T13:00:00
2026-07-11,FR,14 - 15,23596.0,21244.8,23596.0,-0.01,2026-07-11T14:00:00
2026-07-11,FR,15 - 16,21758.2,21187.2,21758.2,0.0,2026-07-11T15:00:00
2026-07-11,FR,16 - 17,19697.1,20062.1,20062.1,7.3,2026-07-11T16:00:00
2026-07-11,FR,17 - 18,17783.3,19278.4,19278.4,74.79,2026-07-11T17:00:00
2026-07-11,FR,18 - 19,16381.9,19070.5,19070.5,121.17,2026-07-11T18:00:00
2026-07-11,FR,19 - 20,15393.7,18261.9,18261.9,140.62,2026-07-11T19:00:00
2026-07-11,FR,20 - 21,15251.9,17824.4,17824.4,151.1,2026-07-11T20:00:00
2026-07-11,FR,21 - 22,14240.8,18830.9,18830.9,155.34,2026-07-11T21:00:00
2026-07-11,FR,22 - 23,14758.2,19234.6,19234.6,154.89,2026-07-11T22:00:00
2026-07-11,FR,23 - 24,14004.7,19480.9,19480.9,145.6,2026-07-11T23:00:00
