delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-13,GB,00:00 - 00:30,563.4,563.4,563.4,118.7,2026-07-13T00:00:00
2026-07-13,GB,00:30 - 01:00,524.4,524.4,524.4,115.47,2026-07-13T00:30:00
2026-07-13,GB,01:00 - 01:30,520.8,520.8,520.8,109.99,2026-07-13T01:00:00
2026-07-13,GB,01:30 - 02:00,442.5,442.5,442.5,106.8,2026-07-13T01:30:00
2026-07-13,GB,02:00 - 02:30,516.2,516.2,516.2,100.39,2026-07-13T02:00:00
2026-07-13,GB,02:30 - 03:00,553.1,553.1,553.1,100.87,2026-07-13T02:30:00
2026-07-13,GB,03:00 - 03:30,425.5,425.5,425.5,105.37,2026-07-13T03:00:00
2026-07-13,GB,03:30 - 04:00,437.9,437.9,437.9,103.6,2026-07-13T03:30:00
2026-07-13,GB,04:00 - 04:30,455.9,455.9,455.9,105.93,2026-07-13T04:00:00
2026-07-13,GB,04:30 - 05:00,551.9,551.9,551.9,106.11,2026-07-13T04:30:00
2026-07-13,GB,05:00 - 05:30,523.6,523.6,523.6,112.6,2026-07-13T05:00:00
2026-07-13,GB,05:30 - 06:00,496.2,496.2,496.2,108.0,2026-07-13T05:30:00
2026-07-13,GB,06:00 - 06:30,538.4,538.4,538.4,124.0,2026-07-13T06:00:00
2026-07-13,GB,06:30 - 07:00,579.9,579.9,579.9,128.0,2026-07-13T06:30:00
2026-07-13,GB,07:00 - 07:30,547.9,547.9,547.9,121.97,2026-07-13T07:00:00
2026-07-13,GB,07:30 - 08:00,779.2,779.2,779.2,130.0,2026-07-13T07:30:00
2026-07-13,GB,08:00 - 08:30,846.7,846.7,846.7,115.0,2026-07-13T08:00:00
2026-07-13,GB,08:30 - 09:00,670.4,670.4,670.4,121.23,2026-07-13T08:30:00
2026-07-13,GB,09:00 - 09:30,688.6,688.6,688.6,105.5,2026-07-13T09:00:00
2026-07-13,GB,09:30 - 10:00,575.9,575.9,575.9,113.0,2026-07-13T09:30:00
2026-07-13,GB,10:00 - 10:30,688.7,688.7,688.7,109.2,2026-07-13T10:00:00
2026-07-13,GB,10:30 - 11:00,569.6,569.6,569.6,97.18,2026-07-13T10:30:00
2026-07-13,GB,11:00 - 11:30,424.8,424.8,424.8,100.37,2026-07-13T11:00:00
2026-07-13,GB,11:30 - 12:00,445.6,445.6,445.6,91.1,2026-07-13T11:30:00
2026-07-13,GB,12:00 - 12:30,488.8,488.8,488.8,80.4,2026-07-13T12:00:00
2026-07-13,GB,12:30 - 13:00,588.1,588.1,588.1,78.6,2026-07-13T12:30:00
2026-07-13,GB,13:00 - 13:30,635.3,635.3,635.3,77.9,2026-07-13T13:00:00
2026-07-13,GB,13:30 - 14:00,644.3,644.3,644.3,78.8,2026-07-13T13:30:00
2026-07-13,GB,14:00 - 14:30,726.1,726.1,726.1,76.32,2026-07-13T14:00:00
2026-07-13,GB,14:30 - 15:00,694.7,694.7,694.7,76.9,2026-07-13T14:30:00
2026-07-13,GB,15:00 - 15:30,809.8,809.8,809.8,81.0,2026-07-13T15:00:00
2026-07-13,GB,15:30 - 16:00,837.3,837.3,837.3,77.2,2026-07-13T15:30:00
2026-07-13,GB,16:00 - 16:30,853.3,853.3,853.3,82.0,2026-07-13T16:00:00
2026-07-13,GB,16:30 - 17:00,825.0,825.0,825.0,82.0,2026-07-13T16:30:00
2026-07-13,GB,17:00 - 17:30,724.8,724.8,724.8,99.0,2026-07-13T17:00:00
2026-07-13,GB,17:30 - 18:00,829.7,829.7,829.7,90.64,2026-07-13T17:30:00
2026-07-13,GB,18:00 - 18:30,668.9,668.9,668.9,109.95,2026-07-13T18:00:00
2026-07-13,GB,18:30 - 19:00,650.4,650.4,650.4,113.48,2026-07-13T18:30:00
2026-07-13,GB,19:00 - 19:30,750.3,750.3,750.3,121.8,2026-07-13T19:00:00
2026-07-13,GB,19:30 - 20:00,778.5,778.5,778.5,126.94,2026-07-13T19:30:00
2026-07-13,GB,20:00 - 20:30,772.4,772.4,772.4,141.26,2026-07-13T20:00:00
2026-07-13,GB,20:30 - 21:00,842.6,842.6,842.6,142.42,2026-07-13T20:30:00
2026-07-13,GB,21:00 - 21:30,838.2,838.2,838.2,146.87,2026-07-13T21:00:00
2026-07-13,GB,21:30 - 22:00,830.8,830.8,830.8,144.0,2026-07-13T21:30:00
2026-07-13,GB,22:00 - 22:30,802.3,802.3,802.3,145.11,2026-07-13T22:00:00
2026-07-13,GB,22:30 - 23:00,777.6,777.6,777.6,140.0,2026-07-13T22:30:00
2026-07-13,GB,23:00 - 23:30,905.8,905.8,905.8,130.0,2026-07-13T23:00:00
2026-07-13,GB,23:30 - 24:00,724.0,724.0,724.0,125.7,2026-07-13T23:30:00
