delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-08,NL,00:00 - 00:15,2085.3,1108.4,2085.3,137.63,2026-07-08T00:00:00
2026-07-08,NL,00:15 - 00:30,2048.0,1105.7,2048.0,126.48,2026-07-08T00:15:00
2026-07-08,NL,00:30 - 00:45,2010.1,1103.6,2010.1,120.66,2026-07-08T00:30:00
2026-07-08,NL,00:45 - 01:00,1986.1,1107.3,1986.1,115.62,2026-07-08T00:45:00
2026-07-08,NL,01:00 - 01:15,1996.6,1116.2,1996.6,127.01,2026-07-08T01:00:00
2026-07-08,NL,01:15 - 01:30,1985.8,1114.8,1985.8,120.23,2026-07-08T01:15:00
2026-07-08,NL,01:30 - 01:45,1981.3,1115.2,1981.3,118.56,2026-07-08T01:30:00
2026-07-08,NL,01:45 - 02:00,1981.8,1110.8,1981.8,111.68,2026-07-08T01:45:00
2026-07-08,NL,02:00 - 02:15,1957.0,1121.1,1957.0,120.56,2026-07-08T02:00:00
2026-07-08,NL,02:15 - 02:30,1956.1,1113.0,1956.1,114.48,2026-07-08T02:15:00
2026-07-08,NL,02:30 - 02:45,1961.1,1116.1,1961.1,114.08,2026-07-08T02:30:00
2026-07-08,NL,02:45 - 03:00,1954.3,1119.1,1954.3,110.51,2026-07-08T02:45:00
2026-07-08,NL,03:00 - 03:15,1921.6,1191.7,1921.6,108.76,2026-07-08T03:00:00
2026-07-08,NL,03:15 - 03:30,1919.5,1194.4,1919.5,111.67,2026-07-08T03:15:00
2026-07-08,NL,03:30 - 03:45,1897.0,1196.5,1897.0,113.55,2026-07-08T03:30:00
2026-07-08,NL,03:45 - 04:00,1863.3,1196.4,1863.3,115.84,2026-07-08T03:45:00
2026-07-08,NL,04:00 - 04:15,1775.9,1201.0,1775.9,112.4,2026-07-08T04:00:00
2026-07-08,NL,04:15 - 04:30,1747.6,1205.9,1747.6,120.5,2026-07-08T04:15:00
2026-07-08,NL,04:30 - 04:45,1743.8,1210.2,1743.8,121.15,2026-07-08T04:30:00
2026-07-08,NL,04:45 - 05:00,1737.8,1214.4,1737.8,125.96,2026-07-08T04:45:00
2026-07-08,NL,05:00 - 05:15,1700.3,1226.3,1700.3,119.88,2026-07-08T05:00:00
2026-07-08,NL,05:15 - 05:30,1705.1,1220.5,1705.1,124.01,2026-07-08T05:15:00
2026-07-08,NL,05:30 - 05:45,1703.8,1225.1,1703.8,125.76,2026-07-08T05:30:00
2026-07-08,NL,05:45 - 06:00,1709.8,1232.9,1709.8,126.35,2026-07-08T05:45:00
2026-07-08,NL,06:00 - 06:15,1583.6,1216.0,1583.6,134.22,2026-07-08T06:00:00
2026-07-08,NL,06:15 - 06:30,1599.8,1215.2,1599.8,137.29,2026-07-08T06:15:00
2026-07-08,NL,06:30 - 06:45,1602.3,1219.5,1602.3,139.64,2026-07-08T06:30:00
2026-07-08,NL,06:45 - 07:00,1608.9,1213.8,1608.9,139.06,2026-07-08T06:45:00
2026-07-08,NL,07:00 - 07:15,1706.9,1286.4,1706.9,140.71,2026-07-08T07:00:00
2026-07-08,NL,07:15 - 07:30,1701.5,1286.5,1701.5,138.66,2026-07-08T07:15:00
2026-07-08,NL,07:30 - 07:45,1716.7,1302.7,1716.7,136.23,2026-07-08T07:30:00
2026-07-08,NL,07:45 - 08:00,1774.9,1316.3,1774.9,129.79,2026-07-08T07:45:00
2026-07-08,NL,08:00 - 08:15,1799.1,1095.3,1799.1,148.88,2026-07-08T08:00:00
2026-07-08,NL,08:15 - 08:30,1857.9,1150.3,1857.9,140.71,2026-07-08T08:15:00
2026-07-08,NL,08:30 - 08:45,1893.2,1164.6,1893.2,128.89,2026-07-08T08:30:00
2026-07-08,NL,08:45 - 09:00,1961.2,1182.4,1961.2,126.44,2026-07-08T08:45:00
2026-07-08,NL,09:00 - 09:15,1980.1,923.4,1980.1,138.28,2026-07-08T09:00:00
2026-07-08,NL,09:15 - 09:30,1976.7,923.9,1976.7,131.83,2026-07-08T09:15:00
2026-07-08,NL,09:30 - 09:45,1982.7,932.2,1982.7,101.83,2026-07-08T09:30:00
2026-07-08,NL,09:45 - 10:00,2020.6,974.0,2020.6,93.72,2026-07-08T09:45:00
2026-07-08,NL,10:00 - 10:15,2071.2,911.5,2071.2,107.66,2026-07-08T10:00:00
2026-07-08,NL,10:15 - 10:30,2075.3,937.8,2075.3,100.32,2026-07-08T10:15:00
2026-07-08,NL,10:30 - 10:45,2091.7,965.5,2091.7,98.57,2026-07-08T10:30:00
2026-07-08,NL,10:45 - 11:00,2097.1,1008.9,2097.1,95.3,2026-07-08T10:45:00
2026-07-08,NL,11:00 - 11:15,1971.7,1060.8,1971.7,102.51,2026-07-08T11:00:00
2026-07-08,NL,11:15 - 11:30,1979.1,1073.8,1979.1,94.18,2026-07-08T11:15:00
2026-07-08,NL,11:30 - 11:45,1956.2,1105.0,1956.2,91.96,2026-07-08T11:30:00
2026-07-08,NL,11:45 - 12:00,1949.1,1120.8,1949.1,77.39,2026-07-08T11:45:00
2026-07-08,NL,12:00 - 12:15,1945.6,1102.0,1945.6,70.17,2026-07-08T12:00:00
2026-07-08,NL,12:15 - 12:30,1911.0,1135.4,1911.0,80.1,2026-07-08T12:15:00
2026-07-08,NL,12:30 - 12:45,1896.0,1145.6,1896.0,70.04,2026-07-08T12:30:00
2026-07-08,NL,12:45 - 13:00,1918.9,1152.8,1918.9,56.92,2026-07-08T12:45:00
2026-07-08,NL,13:00 - 13:15,1917.1,1189.4,1917.1,62.71,2026-07-08T13:00:00
2026-07-08,NL,13:15 - 13:30,1922.6,1196.8,1922.6,50.4,2026-07-08T13:15:00
2026-07-08,NL,13:30 - 13:45,1889.5,1213.8,1889.5,59.3,2026-07-08T13:30:00
2026-07-08,NL,13:45 - 14:00,1896.9,1227.1,1896.9,55.23,2026-07-08T13:45:00
2026-07-08,NL,14:00 - 14:15,1891.4,1266.2,1891.4,65.9,2026-07-08T14:00:00
2026-07-08,NL,14:15 - 14:30,1889.3,1263.3,1889.3,56.89,2026-07-08T14:15:00
2026-07-08,NL,14:30 - 14:45,1881.9,1262.8,1881.9,57.3,2026-07-08T14:30:00
2026-07-08,NL,14:45 - 15:00,1880.3,1263.8,1880.3,55.91,2026-07-08T14:45:00
2026-07-08,NL,15:00 - 15:15,1885.9,1269.0,1885.9,44.03,2026-07-08T15:00:00
2026-07-08,NL,15:15 - 15:30,1882.1,1260.2,1882.1,53.02,2026-07-08T15:15:00
2026-07-08,NL,15:30 - 15:45,1886.8,1245.7,1886.8,60.08,2026-07-08T15:30:00
2026-07-08,NL,15:45 - 16:00,1879.5,1238.1,1879.5,66.47,2026-07-08T15:45:00
2026-07-08,NL,16:00 - 16:15,1898.3,1206.0,1898.3,59.15,2026-07-08T16:00:00
2026-07-08,NL,16:15 - 16:30,1905.7,1170.7,1905.7,51.09,2026-07-08T16:15:00
2026-07-08,NL,16:30 - 16:45,1867.8,1142.9,1867.8,77.13,2026-07-08T16:30:00
2026-07-08,NL,16:45 - 17:00,1854.9,1126.4,1854.9,99.56,2026-07-08T16:45:00
2026-07-08,NL,17:00 - 17:15,1936.5,1071.2,1936.5,78.76,2026-07-08T17:00:00
2026-07-08,NL,17:15 - 17:30,1932.0,997.1,1932.0,88.18,2026-07-08T17:15:00
2026-07-08,NL,17:30 - 17:45,1894.7,937.9,1894.7,85.9,2026-07-08T17:30:00
2026-07-08,NL,17:45 - 18:00,1852.4,899.4,1852.4,90.19,2026-07-08T17:45:00
2026-07-08,NL,18:00 - 18:15,1935.9,1066.6,1935.9,87.72,2026-07-08T18:00:00
2026-07-08,NL,18:15 - 18:30,1923.6,1072.2,1923.6,95.99,2026-07-08T18:15:00
2026-07-08,NL,18:30 - 18:45,1937.6,1130.1,1937.6,114.32,2026-07-08T18:30:00
2026-07-08,NL,18:45 - 19:00,1955.2,1272.5,1955.2,132.81,2026-07-08T18:45:00
2026-07-08,NL,19:00 - 19:15,2021.4,1659.4,2021.4,120.16,2026-07-08T19:00:00
2026-07-08,NL,19:15 - 19:30,2036.7,1737.6,2036.7,135.44,2026-07-08T19:15:00
2026-07-08,NL,19:30 - 19:45,2105.5,1775.3,2105.5,139.44,2026-07-08T19:30:00
2026-07-08,NL,19:45 - 20:00,2184.0,1816.8,2184.0,153.71,2026-07-08T19:45:00
2026-07-08,NL,20:00 - 20:15,2237.9,1799.0,2237.9,133.66,2026-07-08T20:00:00
2026-07-08,NL,20:15 - 20:30,2267.3,1784.2,2267.3,147.82,2026-07-08T20:15:00
2026-07-08,NL,20:30 - 20:45,2309.0,1772.8,2309.0,158.86,2026-07-08T20:30:00
2026-07-08,NL,20:45 - 21:00,2358.3,1774.9,2358.3,174.84,2026-07-08T20:45:00
2026-07-08,NL,21:00 - 21:15,2297.3,1779.7,2297.3,164.78,2026-07-08T21:00:00
2026-07-08,NL,21:15 - 21:30,2317.4,1769.9,2317.4,161.07,2026-07-08T21:15:00
2026-07-08,NL,21:30 - 21:45,2329.7,1774.5,2329.7,163.17,2026-07-08T21:30:00
2026-07-08,NL,21:45 - 22:00,2341.1,1771.6,2341.1,159.73,2026-07-08T21:45:00
2026-07-08,NL,22:00 - 22:15,2430.3,1796.3,2430.3,167.11,2026-07-08T22:00:00
2026-07-08,NL,22:15 - 22:30,2416.2,1800.0,2416.2,163.15,2026-07-08T22:15:00
2026-07-08,NL,22:30 - 22:45,2405.6,1796.9,2405.6,159.66,2026-07-08T22:30:00
2026-07-08,NL,22:45 - 23:00,2398.2,1800.7,2398.2,147.1,2026-07-08T22:45:00
2026-07-08,NL,23:00 - 23:15,2329.1,1731.7,2329.1,154.21,2026-07-08T23:00:00
2026-07-08,NL,23:15 - 23:30,2312.9,1720.6,2312.9,145.52,2026-07-08T23:15:00
2026-07-08,NL,23:30 - 23:45,2281.5,1723.6,2281.5,144.53,2026-07-08T23:30:00
2026-07-08,NL,23:45 - 24:00,2263.8,1743.0,2263.8,137.9,2026-07-08T23:45:00
