delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-10,NL,00:00 - 00:15,-12.2,7.9,0.0,-3.28,-3.28,12.7,18.6,15.7,2026-07-10T00:00:00
2026-07-10,NL,00:15 - 00:30,-14.5,7.95,0.0,-2.55,-2.55,12.0,17.0,14.5,2026-07-10T00:15:00
2026-07-10,NL,00:30 - 00:45,-14.02,7.9,3.81,-2.52,-2.52,15.4,19.3,17.4,2026-07-10T00:30:00
2026-07-10,NL,00:45 - 01:00,-20.77,7.39,4.94,-5.43,-5.43,16.2,20.4,18.3,2026-07-10T00:45:00
2026-07-10,NL,01:00 - 01:15,-16.67,19.03,5.0,-2.98,-2.98,8.2,11.3,9.8,2026-07-10T01:00:00
2026-07-10,NL,01:15 - 01:30,-15.11,14.78,2.53,-2.41,-2.41,14.8,14.3,14.6,2026-07-10T01:15:00
2026-07-10,NL,01:30 - 01:45,-18.85,3.89,0.0,-4.01,-4.01,23.0,18.3,20.7,2026-07-10T01:30:00
2026-07-10,NL,01:45 - 02:00,-27.37,7.5,3.17,-4.07,-4.07,28.6,22.6,25.6,2026-07-10T01:45:00
2026-07-10,NL,02:00 - 02:15,-15.13,15.19,1.0,0.21,0.21,24.7,20.9,22.8,2026-07-10T02:00:00
2026-07-10,NL,02:15 - 02:30,-15.51,6.22,0.34,0.29,0.29,29.5,20.1,24.8,2026-07-10T02:15:00
2026-07-10,NL,02:30 - 02:45,-9.45,11.02,-1.0,0.26,0.26,21.7,19.5,20.6,2026-07-10T02:30:00
2026-07-10,NL,02:45 - 03:00,-21.49,5.0,-1.05,0.67,0.67,30.7,29.5,30.1,2026-07-10T02:45:00
2026-07-10,NL,03:00 - 03:15,-7.51,16.63,-1.05,1.93,1.93,21.0,16.8,18.9,2026-07-10T03:00:00
2026-07-10,NL,03:15 - 03:30,-15.78,16.79,-2.0,2.17,2.17,16.3,18.2,17.3,2026-07-10T03:15:00
2026-07-10,NL,03:30 - 03:45,-15.57,16.38,-4.0,0.9,0.9,12.5,23.2,17.9,2026-07-10T03:30:00
2026-07-10,NL,03:45 - 04:00,-15.72,8.33,-10.0,1.2,1.2,20.0,32.7,26.4,2026-07-10T03:45:00
2026-07-10,NL,04:00 - 04:15,-6.76,17.31,-4.39,-0.13,-0.13,8.4,11.1,9.8,2026-07-10T04:00:00
2026-07-10,NL,04:15 - 04:30,-20.52,4.88,-3.32,0.39,0.39,11.4,12.9,12.2,2026-07-10T04:15:00
2026-07-10,NL,04:30 - 04:45,-6.9,6.85,-6.9,1.13,1.13,7.6,9.4,8.5,2026-07-10T04:30:00
2026-07-10,NL,04:45 - 05:00,-6.9,5.59,-5.55,1.48,1.48,8.3,10.6,9.5,2026-07-10T04:45:00
2026-07-10,NL,05:00 - 05:15,-6.9,7.31,-6.9,0.65,0.65,8.6,8.0,8.3,2026-07-10T05:00:00
2026-07-10,NL,05:15 - 05:30,-5.25,6.54,-1.0,0.17,0.17,6.9,6.1,6.5,2026-07-10T05:15:00
2026-07-10,NL,05:30 - 05:45,-8.05,9.84,-1.08,1.2,1.2,5.3,5.2,5.3,2026-07-10T05:30:00
2026-07-10,NL,05:45 - 06:00,-5.25,11.45,0.83,1.28,1.28,5.2,4.3,4.8,2026-07-10T05:45:00
2026-07-10,NL,06:00 - 06:15,-7.12,16.17,0.87,1.46,1.46,5.3,3.3,4.3,2026-07-10T06:00:00
2026-07-10,NL,06:15 - 06:30,-4.99,9.47,0.0,-0.79,-0.79,4.1,1.9,3.0,2026-07-10T06:15:00
2026-07-10,NL,06:30 - 06:45,-5.38,15.69,-0.51,0.65,0.65,4.7,4.7,4.7,2026-07-10T06:30:00
2026-07-10,NL,06:45 - 07:00,-2.98,25.48,1.0,6.1,6.1,9.3,8.6,9.0,2026-07-10T06:45:00
2026-07-10,NL,07:00 - 07:15,-10.82,15.95,-0.21,0.87,0.87,12.6,3.2,7.9,2026-07-10T07:00:00
