delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-09,NO1,00:00 - 00:15,161.0,161.0,161.0,161.0,6.0,6.0,6.0,2026-07-09T00:00:00
2026-07-09,NO1,00:15 - 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T00:15:00
2026-07-09,NO1,00:30 - 00:45,146.44,146.44,146.44,146.44,0.2,0.2,0.2,2026-07-09T00:30:00
2026-07-09,NO1,00:45 - 01:00,141.0,141.0,141.0,141.0,6.6,6.6,6.6,2026-07-09T00:45:00
2026-07-09,NO1,01:00 - 01:15,157.31,157.31,157.31,157.31,0.1,0.1,0.1,2026-07-09T01:00:00
2026-07-09,NO1,01:15 - 01:30,-107.69,157.31,-107.69,-1.69,0.1,0.1,0.1,2026-07-09T01:15:00
2026-07-09,NO1,01:30 - 01:45,-107.69,161.31,159.31,126.69,1.0,1.0,1.0,2026-07-09T01:30:00
2026-07-09,NO1,01:45 - 02:00,124.1,159.31,159.31,155.45,1.4,1.4,1.4,2026-07-09T01:45:00
2026-07-09,NO1,02:00 - 02:15,149.8,156.77,154.77,151.44,4.3,4.3,4.3,2026-07-09T02:00:00
2026-07-09,NO1,02:15 - 02:30,154.77,156.77,154.77,155.23,0.7,0.7,0.7,2026-07-09T02:15:00
2026-07-09,NO1,02:30 - 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T02:30:00
2026-07-09,NO1,02:45 - 03:00,129.8,129.8,129.8,129.8,6.2,6.2,6.2,2026-07-09T02:45:00
2026-07-09,NO1,03:00 - 03:15,148.9,148.9,148.9,148.9,6.1,6.1,6.1,2026-07-09T03:00:00
2026-07-09,NO1,03:15 - 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T03:15:00
2026-07-09,NO1,03:30 - 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T03:30:00
2026-07-09,NO1,03:45 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T03:45:00
2026-07-09,NO1,04:00 - 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T04:00:00
2026-07-09,NO1,04:15 - 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T04:15:00
2026-07-09,NO1,04:30 - 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T04:30:00
