delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-11,NO4,00 - 01,1094.7,195.2,1094.7,25.92,2026-07-11T00:00:00
2026-07-11,NO4,01 - 02,1087.4,144.5,1087.4,26.36,2026-07-11T01:00:00
2026-07-11,NO4,02 - 03,1226.1,123.3,1226.1,23.71,2026-07-11T02:00:00
2026-07-11,NO4,03 - 04,1212.9,112.0,1212.9,23.23,2026-07-11T03:00:00
2026-07-11,NO4,04 - 05,1226.5,88.7,1226.5,24.02,2026-07-11T04:00:00
2026-07-11,NO4,05 - 06,1219.9,95.4,1219.9,22.65,2026-07-11T05:00:00
2026-07-11,NO4,06 - 07,1234.6,57.5,1234.6,21.86,2026-07-11T06:00:00
2026-07-11,NO4,07 - 08,1348.2,49.5,1348.2,20.33,2026-07-11T07:00:00
2026-07-11,NO4,08 - 09,1296.4,63.1,1296.4,21.89,2026-07-11T08:00:00
2026-07-11,NO4,09 - 10,1302.2,76.4,1302.2,21.2,2026-07-11T09:00:00
2026-07-11,NO4,10 - 11,1435.7,69.0,1435.7,18.07,2026-07-11T10:00:00
2026-07-11,NO4,11 - 12,1303.9,58.0,1303.9,14.31,2026-07-11T11:00:00
2026-07-11,NO4,12 - 13,1217.3,83.2,1217.3,16.68,2026-07-11T12:00:00
2026-07-11,NO4,13 - 14,1195.0,95.0,1195.0,16.09,2026-07-11T13:00:00
2026-07-11,NO4,14 - 15,1204.6,107.4,1204.6,15.13,2026-07-11T14:00:00
2026-07-11,NO4,15 - 16,1310.4,117.1,1310.4,16.33,2026-07-11T15:00:00
2026-07-11,NO4,16 - 17,1209.9,162.6,1209.9,17.51,2026-07-11T16:00:00
2026-07-11,NO4,17 - 18,1284.9,145.0,1284.9,21.26,2026-07-11T17:00:00
2026-07-11,NO4,18 - 19,1074.9,108.5,1074.9,26.64,2026-07-11T18:00:00
2026-07-11,NO4,19 - 20,1102.4,97.9,1102.4,27.09,2026-07-11T19:00:00
2026-07-11,NO4,20 - 21,1197.2,110.1,1197.2,25.41,2026-07-11T20:00:00
2026-07-11,NO4,21 - 22,1186.2,147.0,1186.2,25.96,2026-07-11T21:00:00
2026-07-11,NO4,22 - 23,1267.5,150.4,1267.5,24.5,2026-07-11T22:00:00
2026-07-11,NO4,23 - 24,1308.6,153.0,1308.6,22.5,2026-07-11T23:00:00
