delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-08,PL,00 - 01,88.4,872.6,872.6,99.24,2026-07-08T00:00:00
2026-07-08,PL,01 - 02,50.7,888.6,888.6,91.86,2026-07-08T01:00:00
2026-07-08,PL,02 - 03,108.0,843.1,843.1,88.66,2026-07-08T02:00:00
2026-07-08,PL,03 - 04,115.9,847.6,847.6,84.56,2026-07-08T03:00:00
2026-07-08,PL,04 - 05,109.2,1043.0,1043.0,93.94,2026-07-08T04:00:00
2026-07-08,PL,05 - 06,85.7,1151.9,1151.9,103.49,2026-07-08T05:00:00
2026-07-08,PL,06 - 07,102.1,1052.5,1052.5,108.8,2026-07-08T06:00:00
2026-07-08,PL,07 - 08,74.1,1206.6,1206.6,114.16,2026-07-08T07:00:00
2026-07-08,PL,08 - 09,175.6,1191.1,1191.1,74.5,2026-07-08T08:00:00
2026-07-08,PL,09 - 10,226.1,754.4,754.4,16.0,2026-07-08T09:00:00
2026-07-08,PL,10 - 11,293.2,668.5,668.5,-9.0,2026-07-08T10:00:00
2026-07-08,PL,11 - 12,294.3,716.2,716.2,-2.52,2026-07-08T11:00:00
2026-07-08,PL,12 - 13,360.8,487.8,487.8,-6.98,2026-07-08T12:00:00
2026-07-08,PL,13 - 14,402.6,625.4,625.4,0.04,2026-07-08T13:00:00
2026-07-08,PL,14 - 15,366.2,643.5,643.5,-4.22,2026-07-08T14:00:00
2026-07-08,PL,15 - 16,242.7,659.2,659.2,10.19,2026-07-08T15:00:00
2026-07-08,PL,16 - 17,238.9,762.9,762.9,32.46,2026-07-08T16:00:00
2026-07-08,PL,17 - 18,130.0,769.5,769.5,74.32,2026-07-08T17:00:00
2026-07-08,PL,18 - 19,107.1,776.3,776.3,116.39,2026-07-08T18:00:00
2026-07-08,PL,19 - 20,346.5,513.8,513.8,136.5,2026-07-08T19:00:00
2026-07-08,PL,20 - 21,472.4,265.4,472.4,152.61,2026-07-08T20:00:00
2026-07-08,PL,21 - 22,308.8,381.7,381.7,160.33,2026-07-08T21:00:00
2026-07-08,PL,22 - 23,63.5,698.9,698.9,159.21,2026-07-08T22:00:00
2026-07-08,PL,23 - 24,56.6,816.6,816.6,145.13,2026-07-08T23:00:00
