delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-08,SE2,00:00 - 00:30,621.0,621.0,621.0,123.6,2026-07-08T00:00:00
2026-07-08,SE2,00:30 - 01:00,509.7,509.7,509.7,128.02,2026-07-08T00:30:00
2026-07-08,SE2,01:00 - 01:30,531.1,531.1,531.1,129.2,2026-07-08T01:00:00
2026-07-08,SE2,01:30 - 02:00,449.0,449.0,449.0,127.73,2026-07-08T01:30:00
2026-07-08,SE2,02:00 - 02:30,424.6,424.6,424.6,124.44,2026-07-08T02:00:00
2026-07-08,SE2,02:30 - 03:00,425.0,425.0,425.0,123.56,2026-07-08T02:30:00
2026-07-08,SE2,03:00 - 03:30,429.1,429.1,429.1,124.5,2026-07-08T03:00:00
2026-07-08,SE2,03:30 - 04:00,405.0,405.0,405.0,117.5,2026-07-08T03:30:00
2026-07-08,SE2,04:00 - 04:30,476.3,476.3,476.3,113.0,2026-07-08T04:00:00
2026-07-08,SE2,04:30 - 05:00,397.0,397.0,397.0,114.58,2026-07-08T04:30:00
2026-07-08,SE2,05:00 - 05:30,434.0,434.0,434.0,114.22,2026-07-08T05:00:00
2026-07-08,SE2,05:30 - 06:00,403.0,403.0,403.0,110.42,2026-07-08T05:30:00
2026-07-08,SE2,06:00 - 06:30,523.7,523.7,523.7,111.64,2026-07-08T06:00:00
2026-07-08,SE2,06:30 - 07:00,404.1,404.1,404.1,112.1,2026-07-08T06:30:00
2026-07-08,SE2,07:00 - 07:30,526.2,526.2,526.2,100.0,2026-07-08T07:00:00
2026-07-08,SE2,07:30 - 08:00,530.7,530.7,530.7,103.04,2026-07-08T07:30:00
2026-07-08,SE2,08:00 - 08:30,791.4,791.4,791.4,100.0,2026-07-08T08:00:00
2026-07-08,SE2,08:30 - 09:00,698.7,698.7,698.7,108.0,2026-07-08T08:30:00
2026-07-08,SE2,09:00 - 09:30,670.6,670.6,670.6,114.29,2026-07-08T09:00:00
2026-07-08,SE2,09:30 - 10:00,600.5,600.5,600.5,115.0,2026-07-08T09:30:00
2026-07-08,SE2,10:00 - 10:30,715.8,715.8,715.8,120.0,2026-07-08T10:00:00
2026-07-08,SE2,10:30 - 11:00,620.4,620.4,620.4,124.58,2026-07-08T10:30:00
2026-07-08,SE2,11:00 - 11:30,526.5,526.5,526.5,115.29,2026-07-08T11:00:00
2026-07-08,SE2,11:30 - 12:00,530.0,530.0,530.0,110.2,2026-07-08T11:30:00
2026-07-08,SE2,12:00 - 12:30,478.6,478.6,478.6,100.57,2026-07-08T12:00:00
2026-07-08,SE2,12:30 - 13:00,385.0,385.0,385.0,95.1,2026-07-08T12:30:00
2026-07-08,SE2,13:00 - 13:30,413.1,413.1,413.1,93.85,2026-07-08T13:00:00
2026-07-08,SE2,13:30 - 14:00,432.2,432.2,432.2,90.35,2026-07-08T13:30:00
2026-07-08,SE2,14:00 - 14:30,546.6,546.6,546.6,88.81,2026-07-08T14:00:00
2026-07-08,SE2,14:30 - 15:00,515.7,515.7,515.7,87.73,2026-07-08T14:30:00
2026-07-08,SE2,15:00 - 15:30,506.1,506.1,506.1,87.8,2026-07-08T15:00:00
2026-07-08,SE2,15:30 - 16:00,570.9,570.9,570.9,85.32,2026-07-08T15:30:00
2026-07-08,SE2,16:00 - 16:30,607.9,607.9,607.9,85.8,2026-07-08T16:00:00
2026-07-08,SE2,16:30 - 17:00,646.6,646.6,646.6,87.5,2026-07-08T16:30:00
2026-07-08,SE2,17:00 - 17:30,619.3,619.3,619.3,92.87,2026-07-08T17:00:00
2026-07-08,SE2,17:30 - 18:00,716.4,716.4,716.4,94.28,2026-07-08T17:30:00
2026-07-08,SE2,18:00 - 18:30,524.0,524.0,524.0,108.76,2026-07-08T18:00:00
2026-07-08,SE2,18:30 - 19:00,685.6,685.6,685.6,105.0,2026-07-08T18:30:00
2026-07-08,SE2,19:00 - 19:30,576.5,576.5,576.5,125.0,2026-07-08T19:00:00
2026-07-08,SE2,19:30 - 20:00,697.8,697.8,697.8,131.87,2026-07-08T19:30:00
2026-07-08,SE2,20:00 - 20:30,743.7,743.7,743.7,128.26,2026-07-08T20:00:00
2026-07-08,SE2,20:30 - 21:00,791.6,791.6,791.6,128.2,2026-07-08T20:30:00
2026-07-08,SE2,21:00 - 21:30,631.1,631.1,631.1,128.05,2026-07-08T21:00:00
2026-07-08,SE2,21:30 - 22:00,669.8,669.8,669.8,127.76,2026-07-08T21:30:00
2026-07-08,SE2,22:00 - 22:30,602.7,602.7,602.7,122.78,2026-07-08T22:00:00
2026-07-08,SE2,22:30 - 23:00,664.1,664.1,664.1,122.4,2026-07-08T22:30:00
2026-07-08,SE2,23:00 - 23:30,734.6,734.6,734.6,120.05,2026-07-08T23:00:00
2026-07-08,SE2,23:30 - 24:00,793.9,793.9,793.9,114.5,2026-07-08T23:30:00
