delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-08,SE3,00:00 - 00:15,117.62,196.72,117.62,156.29,791.7,839.6,815.7,2026-07-08T00:00:00
2026-07-08,SE3,00:15 - 00:30,124.56,160.0,135.01,148.65,767.0,844.5,805.8,2026-07-08T00:15:00
2026-07-08,SE3,00:30 - 00:45,108.75,189.43,178.25,146.1,807.7,831.7,819.7,2026-07-08T00:30:00
2026-07-08,SE3,00:45 - 01:00,99.7,194.71,171.1,146.01,826.1,877.1,851.6,2026-07-08T00:45:00
2026-07-08,SE3,01:00 - 01:15,143.81,220.0,207.27,153.51,636.6,723.1,679.9,2026-07-08T01:00:00
2026-07-08,SE3,01:15 - 01:30,79.51,176.3,133.8,148.06,675.8,692.3,684.1,2026-07-08T01:15:00
2026-07-08,SE3,01:30 - 01:45,122.23,188.4,149.0,148.01,751.6,764.0,757.8,2026-07-08T01:30:00
2026-07-08,SE3,01:45 - 02:00,100.39,170.9,124.73,141.41,819.4,826.4,822.9,2026-07-08T01:45:00
2026-07-08,SE3,02:00 - 02:15,-84.99,153.85,127.5,143.1,757.2,670.9,714.1,2026-07-08T02:00:00
2026-07-08,SE3,02:15 - 02:30,-52.47,150.29,99.71,137.45,855.0,804.7,829.9,2026-07-08T02:15:00
2026-07-08,SE3,02:30 - 02:45,-31.26,147.83,115.71,134.43,1042.9,962.4,1002.7,2026-07-08T02:30:00
2026-07-08,SE3,02:45 - 03:00,-31.02,146.75,114.64,135.21,932.2,841.6,886.9,2026-07-08T02:45:00
2026-07-08,SE3,03:00 - 03:15,-6.48,152.19,126.5,135.55,837.2,819.7,828.5,2026-07-08T03:00:00
2026-07-08,SE3,03:15 - 03:30,-31.11,153.57,148.2,134.91,783.4,754.1,768.8,2026-07-08T03:15:00
2026-07-08,SE3,03:30 - 03:45,-31.29,172.09,160.02,138.06,897.8,864.0,880.9,2026-07-08T03:30:00
2026-07-08,SE3,03:45 - 04:00,-31.41,174.8,164.99,137.51,919.4,884.3,901.9,2026-07-08T03:45:00
2026-07-08,SE3,04:00 - 04:15,82.08,212.08,151.1,140.61,782.7,812.4,797.6,2026-07-08T04:00:00
2026-07-08,SE3,04:15 - 04:30,-30.99,178.47,148.67,141.6,761.1,746.0,753.6,2026-07-08T04:15:00
2026-07-08,SE3,04:30 - 04:45,72.08,171.19,164.63,142.0,774.8,749.3,762.1,2026-07-08T04:30:00
2026-07-08,SE3,04:45 - 05:00,82.02,164.27,148.67,142.53,830.9,815.3,823.1,2026-07-08T04:45:00
2026-07-08,SE3,05:00 - 05:15,116.7,180.58,140.01,143.7,730.5,823.8,777.2,2026-07-08T05:00:00
2026-07-08,SE3,05:15 - 05:30,84.06,173.5,155.41,147.59,706.5,747.9,727.2,2026-07-08T05:15:00
2026-07-08,SE3,05:30 - 05:45,138.76,191.3,148.8,153.14,799.9,856.8,828.4,2026-07-08T05:30:00
2026-07-08,SE3,05:45 - 06:00,109.96,167.55,142.63,155.24,1131.6,1192.6,1162.1,2026-07-08T05:45:00
2026-07-08,SE3,06:00 - 06:15,118.12,248.81,124.2,156.11,1033.1,1111.3,1072.2,2026-07-08T06:00:00
2026-07-08,SE3,06:15 - 06:30,118.03,190.97,155.2,157.94,1156.4,1341.6,1249.0,2026-07-08T06:15:00
2026-07-08,SE3,06:30 - 06:45,136.47,184.69,173.63,158.0,1280.5,1442.3,1361.4,2026-07-08T06:30:00
2026-07-08,SE3,06:45 - 07:00,141.3,186.22,173.66,155.84,1273.3,1488.2,1380.8,2026-07-08T06:45:00
