delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-08,SE3,00 - 01,43.1,1891.9,1891.9,15.6,2026-07-08T00:00:00
2026-07-08,SE3,01 - 02,34.5,1949.3,1949.3,14.69,2026-07-08T01:00:00
2026-07-08,SE3,02 - 03,35.6,1960.2,1960.2,14.78,2026-07-08T02:00:00
2026-07-08,SE3,03 - 04,29.5,1859.7,1859.7,14.63,2026-07-08T03:00:00
2026-07-08,SE3,04 - 05,36.2,1871.6,1871.6,15.15,2026-07-08T04:00:00
2026-07-08,SE3,05 - 06,33.0,1849.8,1849.8,22.71,2026-07-08T05:00:00
2026-07-08,SE3,06 - 07,0.0,2071.5,2071.5,59.37,2026-07-08T06:00:00
2026-07-08,SE3,07 - 08,1.0,2186.1,2186.1,64.54,2026-07-08T07:00:00
2026-07-08,SE3,08 - 09,0.0,2258.0,2258.0,57.58,2026-07-08T08:00:00
2026-07-08,SE3,09 - 10,0.0,2374.5,2374.5,22.39,2026-07-08T09:00:00
2026-07-08,SE3,10 - 11,19.0,2518.2,2518.2,13.21,2026-07-08T10:00:00
2026-07-08,SE3,11 - 12,19.2,2532.1,2532.1,14.27,2026-07-08T11:00:00
2026-07-08,SE3,12 - 13,2.5,2146.0,2146.0,16.63,2026-07-08T12:00:00
2026-07-08,SE3,13 - 14,9.3,2142.6,2142.6,15.53,2026-07-08T13:00:00
2026-07-08,SE3,14 - 15,10.1,2131.3,2131.3,12.61,2026-07-08T14:00:00
2026-07-08,SE3,15 - 16,8.4,2160.7,2160.7,12.64,2026-07-08T15:00:00
2026-07-08,SE3,16 - 17,11.4,2177.3,2177.3,14.72,2026-07-08T16:00:00
2026-07-08,SE3,17 - 18,32.4,2078.4,2078.4,19.57,2026-07-08T17:00:00
2026-07-08,SE3,18 - 19,2.3,2115.0,2115.0,52.56,2026-07-08T18:00:00
2026-07-08,SE3,19 - 20,6.0,2011.8,2011.8,74.05,2026-07-08T19:00:00
2026-07-08,SE3,20 - 21,5.0,1964.8,1964.8,76.17,2026-07-08T20:00:00
2026-07-08,SE3,21 - 22,6.0,2048.5,2048.5,75.01,2026-07-08T21:00:00
2026-07-08,SE3,22 - 23,8.0,2303.6,2303.6,73.37,2026-07-08T22:00:00
2026-07-08,SE3,23 - 24,0.0,2466.1,2466.1,70.95,2026-07-08T23:00:00
