delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-11,SE3,00:00 - 00:15,111.35,153.45,125.62,140.4,140.4,142.29,141.7,1588.3,1822.2,1705.3,2026-07-11T00:00:00
2026-07-11,SE3,00:15 - 00:30,94.01,170.21,133.89,135.97,135.97,135.84,137.31,1319.2,1490.0,1404.6,2026-07-11T00:15:00
2026-07-11,SE3,00:30 - 00:45,93.94,154.03,115.45,129.75,129.75,128.62,129.85,1176.6,1218.7,1197.7,2026-07-11T00:30:00
2026-07-11,SE3,00:45 - 01:00,99.48,185.7,125.0,123.08,123.08,121.87,124.28,1242.5,1248.8,1245.7,2026-07-11T00:45:00
2026-07-11,SE3,01:00 - 01:15,110.57,149.44,143.24,130.94,130.94,127.19,129.7,1127.9,1198.6,1163.3,2026-07-11T01:00:00
2026-07-11,SE3,01:15 - 01:30,99.42,143.2,115.17,123.99,123.99,119.79,122.61,1153.6,1123.8,1138.7,2026-07-11T01:15:00
2026-07-11,SE3,01:30 - 01:45,102.2,138.35,120.88,122.01,122.01,120.49,120.53,1228.9,1177.4,1203.2,2026-07-11T01:30:00
2026-07-11,SE3,01:45 - 02:00,80.0,137.61,99.09,119.93,119.93,119.62,119.55,1309.7,1298.2,1304.0,2026-07-11T01:45:00
2026-07-11,SE3,02:00 - 02:15,13.26,164.8,122.83,124.71,124.71,127.44,125.48,1043.1,1118.3,1080.7,2026-07-11T02:00:00
2026-07-11,SE3,02:15 - 02:30,-37.97,137.26,122.95,121.34,121.34,119.98,120.47,1106.3,1124.5,1115.4,2026-07-11T02:15:00
2026-07-11,SE3,02:30 - 02:45,8.5,136.93,123.96,122.04,122.04,122.3,121.6,1120.0,1142.2,1131.1,2026-07-11T02:30:00
2026-07-11,SE3,02:45 - 03:00,6.12,139.3,119.17,122.38,122.38,123.7,122.4,1120.6,1117.6,1119.1,2026-07-11T02:45:00
2026-07-11,SE3,03:00 - 03:15,41.4,135.6,107.0,122.54,122.54,127.99,123.86,937.2,1033.0,985.1,2026-07-11T03:00:00
2026-07-11,SE3,03:15 - 03:30,93.91,138.69,103.14,123.86,123.86,131.42,126.48,1005.3,1110.5,1057.9,2026-07-11T03:15:00
2026-07-11,SE3,03:30 - 03:45,99.35,139.73,109.42,125.08,125.08,128.39,126.91,1021.6,1100.0,1060.8,2026-07-11T03:30:00
2026-07-11,SE3,03:45 - 04:00,77.69,145.6,103.77,125.69,125.69,128.36,127.73,1074.5,1120.6,1097.6,2026-07-11T03:45:00
2026-07-11,SE3,04:00 - 04:15,62.8,139.08,105.5,122.34,122.34,129.05,126.58,1040.9,1048.7,1044.8,2026-07-11T04:00:00
2026-07-11,SE3,04:15 - 04:30,99.54,134.73,117.8,124.18,124.18,125.88,126.21,994.7,1042.2,1018.5,2026-07-11T04:15:00
2026-07-11,SE3,04:30 - 04:45,110.93,143.93,125.0,127.6,127.6,126.62,128.32,981.5,991.9,986.7,2026-07-11T04:30:00
2026-07-11,SE3,04:45 - 05:00,56.9,160.45,138.0,129.93,129.93,128.1,129.95,1066.7,1040.3,1053.5,2026-07-11T04:45:00
2026-07-11,SE3,05:00 - 05:15,97.2,162.49,129.37,123.63,123.63,121.85,124.68,847.6,851.1,849.4,2026-07-11T05:00:00
2026-07-11,SE3,05:15 - 05:30,90.89,143.4,122.96,128.43,128.43,131.66,129.82,866.5,875.0,870.8,2026-07-11T05:15:00
2026-07-11,SE3,05:30 - 05:45,97.8,148.99,110.93,131.12,131.12,131.9,131.14,973.6,942.4,958.0,2026-07-11T05:30:00
2026-07-11,SE3,05:45 - 06:00,96.15,142.71,138.07,132.24,132.24,133.21,132.63,1055.3,968.4,1011.9,2026-07-11T05:45:00
2026-07-11,SE3,06:00 - 06:15,109.1,143.1,118.0,131.55,131.55,129.61,131.49,853.6,941.2,897.4,2026-07-11T06:00:00
2026-07-11,SE3,06:15 - 06:30,91.51,6997.46,209.6,147.75,147.75,138.28,138.38,1289.1,1305.1,1297.1,2026-07-11T06:15:00
2026-07-11,SE3,06:30 - 06:45,90.32,1500.0,198.88,157.44,157.44,145.22,142.3,1475.7,1549.4,1512.6,2026-07-11T06:30:00
2026-07-11,SE3,06:45 - 07:00,91.03,240.88,149.19,152.17,152.17,149.02,145.56,1898.7,1827.5,1863.1,2026-07-11T06:45:00
2026-07-11,SE3,07:00 - 07:15,51.28,249.14,141.0,150.64,150.64,159.78,151.62,1645.4,1862.7,1754.1,2026-07-11T07:00:00
2026-07-11,SE3,07:15 - 07:30,72.57,187.9,149.9,149.14,149.14,159.33,152.72,1846.8,2035.6,1941.2,2026-07-11T07:15:00
2026-07-11,SE3,07:30 - 07:45,96.24,336.1,216.1,150.8,150.8,153.63,150.14,1877.2,2102.7,1990.0,2026-07-11T07:30:00
2026-07-11,SE3,07:45 - 08:00,118.85,277.0,213.29,149.0,149.0,142.63,144.39,2055.2,2337.1,2196.2,2026-07-11T07:45:00
2026-07-11,SE3,08:00 - 08:15,129.88,266.73,256.89,161.24,161.24,161.66,158.01,2012.5,2317.2,2164.9,2026-07-11T08:00:00
2026-07-11,SE3,08:15 - 08:30,123.08,839.66,294.9,165.91,165.91,169.77,157.38,2282.6,2622.8,2452.7,2026-07-11T08:15:00
2026-07-11,SE3,08:30 - 08:45,111.69,379.8,192.6,165.85,165.85,163.53,151.52,2516.4,2783.7,2650.1,2026-07-11T08:30:00
2026-07-11,SE3,08:45 - 09:00,107.7,355.61,250.0,163.72,163.72,174.39,155.09,2922.4,3202.9,3062.7,2026-07-11T08:45:00
2026-07-11,SE3,09:00 - 09:15,113.39,625.63,382.36,198.48,198.48,231.92,186.71,2685.3,3328.5,3006.9,2026-07-11T09:00:00
2026-07-11,SE3,09:15 - 09:30,107.85,769.19,206.83,192.27,192.27,248.6,192.3,2392.7,2890.7,2641.7,2026-07-11T09:15:00
2026-07-11,SE3,09:30 - 09:45,78.42,230.48,141.9,153.04,153.04,185.41,162.93,2470.6,2982.8,2726.7,2026-07-11T09:30:00
2026-07-11,SE3,09:45 - 10:00,68.96,198.17,141.01,138.57,138.57,157.41,144.99,2763.2,3170.5,2966.9,2026-07-11T09:45:00
2026-07-11,SE3,10:00 - 10:15,87.05,193.22,135.8,149.79,149.79,168.96,158.89,2559.9,2779.9,2669.9,2026-07-11T10:00:00
2026-07-11,SE3,10:15 - 10:30,76.47,205.61,135.13,132.84,132.84,154.51,143.75,2139.6,2422.7,2281.2,2026-07-11T10:15:00
2026-07-11,SE3,10:30 - 10:45,69.42,195.22,138.45,124.04,124.04,136.89,131.81,2193.3,2480.0,2336.7,2026-07-11T10:30:00
