delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-12,AT,00:00 - 00:15,10.5,6.2,10.5,137.87,2026-07-12T00:00:00
2026-07-12,AT,00:15 - 00:30,10.8,6.0,10.8,136.94,2026-07-12T00:15:00
2026-07-12,AT,00:30 - 00:45,7.4,7.8,7.8,138.76,2026-07-12T00:30:00
2026-07-12,AT,00:45 - 01:00,8.6,7.9,8.6,131.78,2026-07-12T00:45:00
2026-07-12,AT,01:00 - 01:15,6.5,14.0,14.0,137.79,2026-07-12T01:00:00
2026-07-12,AT,01:15 - 01:30,5.9,13.5,13.5,136.86,2026-07-12T01:15:00
2026-07-12,AT,01:30 - 01:45,5.9,14.3,14.3,133.18,2026-07-12T01:30:00
2026-07-12,AT,01:45 - 02:00,4.4,13.4,13.4,127.45,2026-07-12T01:45:00
2026-07-12,AT,02:00 - 02:15,6.7,7.9,7.9,128.66,2026-07-12T02:00:00
2026-07-12,AT,02:15 - 02:30,6.5,10.7,10.7,126.14,2026-07-12T02:15:00
2026-07-12,AT,02:30 - 02:45,4.6,8.6,8.6,124.8,2026-07-12T02:30:00
2026-07-12,AT,02:45 - 03:00,5.9,8.1,8.1,124.35,2026-07-12T02:45:00
2026-07-12,AT,03:00 - 03:15,11.5,6.0,11.5,125.03,2026-07-12T03:00:00
2026-07-12,AT,03:15 - 03:30,9.6,6.3,9.6,126.39,2026-07-12T03:15:00
2026-07-12,AT,03:30 - 03:45,13.5,6.0,13.5,122.85,2026-07-12T03:30:00
2026-07-12,AT,03:45 - 04:00,11.2,5.7,11.2,121.7,2026-07-12T03:45:00
2026-07-12,AT,04:00 - 04:15,8.8,6.1,8.8,125.27,2026-07-12T04:00:00
2026-07-12,AT,04:15 - 04:30,10.2,6.2,10.2,123.1,2026-07-12T04:15:00
2026-07-12,AT,04:30 - 04:45,9.7,6.1,9.7,121.11,2026-07-12T04:30:00
2026-07-12,AT,04:45 - 05:00,10.6,5.0,10.6,120.17,2026-07-12T04:45:00
2026-07-12,AT,05:00 - 05:15,14.5,10.2,14.5,123.5,2026-07-12T05:00:00
2026-07-12,AT,05:15 - 05:30,11.3,10.7,11.3,121.52,2026-07-12T05:15:00
2026-07-12,AT,05:30 - 05:45,9.9,10.3,10.3,120.4,2026-07-12T05:30:00
2026-07-12,AT,05:45 - 06:00,14.9,12.3,14.9,112.8,2026-07-12T05:45:00
2026-07-12,AT,06:00 - 06:15,12.0,10.5,12.0,116.3,2026-07-12T06:00:00
2026-07-12,AT,06:15 - 06:30,10.1,11.5,11.5,112.0,2026-07-12T06:15:00
2026-07-12,AT,06:30 - 06:45,14.4,12.3,14.4,109.3,2026-07-12T06:30:00
2026-07-12,AT,06:45 - 07:00,8.2,14.5,14.5,105.78,2026-07-12T06:45:00
2026-07-12,AT,07:00 - 07:15,8.7,26.4,26.4,112.25,2026-07-12T07:00:00
2026-07-12,AT,07:15 - 07:30,6.6,10.4,10.4,106.99,2026-07-12T07:15:00
2026-07-12,AT,07:30 - 07:45,6.0,12.1,12.1,102.89,2026-07-12T07:30:00
2026-07-12,AT,07:45 - 08:00,15.6,12.7,15.6,84.99,2026-07-12T07:45:00
2026-07-12,AT,08:00 - 08:15,7.8,8.6,8.6,103.56,2026-07-12T08:00:00
2026-07-12,AT,08:15 - 08:30,7.7,18.5,18.5,81.43,2026-07-12T08:15:00
2026-07-12,AT,08:30 - 08:45,8.4,11.9,11.9,55.59,2026-07-12T08:30:00
2026-07-12,AT,08:45 - 09:00,17.8,7.7,17.8,17.56,2026-07-12T08:45:00
2026-07-12,AT,09:00 - 09:15,17.9,2.8,17.9,17.91,2026-07-12T09:00:00
2026-07-12,AT,09:15 - 09:30,25.6,4.8,25.6,1.46,2026-07-12T09:15:00
2026-07-12,AT,09:30 - 09:45,18.8,7.9,18.8,-2.35,2026-07-12T09:30:00
2026-07-12,AT,09:45 - 10:00,12.6,12.7,12.7,-5.02,2026-07-12T09:45:00
2026-07-12,AT,10:00 - 10:15,15.9,8.7,15.9,10.99,2026-07-12T10:00:00
2026-07-12,AT,10:15 - 10:30,14.7,4.0,14.7,-0.01,2026-07-12T10:15:00
2026-07-12,AT,10:30 - 10:45,15.1,9.3,15.1,9.82,2026-07-12T10:30:00
2026-07-12,AT,10:45 - 11:00,15.2,13.4,15.2,1.0,2026-07-12T10:45:00
2026-07-12,AT,11:00 - 11:15,17.3,13.6,17.3,8.79,2026-07-12T11:00:00
2026-07-12,AT,11:15 - 11:30,17.3,15.7,17.3,6.21,2026-07-12T11:15:00
2026-07-12,AT,11:30 - 11:45,16.8,15.5,16.8,5.0,2026-07-12T11:30:00
2026-07-12,AT,11:45 - 12:00,17.3,16.6,17.3,4.0,2026-07-12T11:45:00
2026-07-12,AT,12:00 - 12:15,18.7,14.3,18.7,8.17,2026-07-12T12:00:00
2026-07-12,AT,12:15 - 12:30,16.7,14.3,16.7,6.59,2026-07-12T12:15:00
2026-07-12,AT,12:30 - 12:45,16.5,16.3,16.5,5.8,2026-07-12T12:30:00
2026-07-12,AT,12:45 - 13:00,17.1,15.6,17.1,3.28,2026-07-12T12:45:00
2026-07-12,AT,13:00 - 13:15,20.0,16.4,20.0,9.04,2026-07-12T13:00:00
2026-07-12,AT,13:15 - 13:30,19.0,17.3,19.0,8.04,2026-07-12T13:15:00
2026-07-12,AT,13:30 - 13:45,20.9,17.5,20.9,9.52,2026-07-12T13:30:00
2026-07-12,AT,13:45 - 14:00,20.9,19.0,20.9,8.0,2026-07-12T13:45:00
2026-07-12,AT,14:00 - 14:15,21.7,17.1,21.7,9.17,2026-07-12T14:00:00
2026-07-12,AT,14:15 - 14:30,20.8,17.2,20.8,9.0,2026-07-12T14:15:00
2026-07-12,AT,14:30 - 14:45,21.3,16.8,21.3,9.0,2026-07-12T14:30:00
2026-07-12,AT,14:45 - 15:00,21.3,15.9,21.3,10.0,2026-07-12T14:45:00
2026-07-12,AT,15:00 - 15:15,17.9,16.4,17.9,4.2,2026-07-12T15:00:00
