delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-13,AT,00:00 - 00:15,112.29,120.56,112.29,116.43,0.0,0.2,0.1,2026-07-13T00:00:00
2026-07-13,AT,00:15 - 00:30,112.18,112.18,112.18,112.18,0.0,0.2,0.1,2026-07-13T00:15:00
2026-07-13,AT,00:30 - 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:30:00
2026-07-13,AT,00:45 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T00:45:00
2026-07-13,AT,01:00 - 01:15,120.0,120.0,120.0,120.0,0.0,0.2,0.1,2026-07-13T01:00:00
2026-07-13,AT,01:15 - 01:30,117.55,117.55,117.55,117.55,0.0,0.2,0.1,2026-07-13T01:15:00
2026-07-13,AT,01:30 - 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:30:00
2026-07-13,AT,01:45 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T01:45:00
2026-07-13,AT,02:00 - 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:00:00
2026-07-13,AT,02:15 - 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:15:00
2026-07-13,AT,02:30 - 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:30:00
2026-07-13,AT,02:45 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T02:45:00
2026-07-13,AT,03:00 - 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:00:00
2026-07-13,AT,03:15 - 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:15:00
2026-07-13,AT,03:30 - 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T03:30:00
2026-07-13,AT,03:45 - 04:00,117.7,117.7,117.7,117.7,0.6,0.0,0.3,2026-07-13T03:45:00
2026-07-13,AT,04:00 - 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T04:00:00
2026-07-13,AT,04:15 - 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T04:15:00
2026-07-13,AT,04:30 - 04:45,98.0,133.86,133.86,119.68,1.6,0.0,0.8,2026-07-13T04:30:00
2026-07-13,AT,04:45 - 05:00,120.97,130.27,130.27,125.2,2.0,0.0,1.0,2026-07-13T04:45:00
2026-07-13,AT,05:00 - 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:00:00
2026-07-13,AT,05:15 - 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T05:15:00
2026-07-13,AT,05:30 - 05:45,95.6,97.2,95.6,96.28,0.0,0.9,0.5,2026-07-13T05:30:00
2026-07-13,AT,05:45 - 06:00,111.73,123.96,123.96,116.1,1.2,0.0,0.6,2026-07-13T05:45:00
2026-07-13,AT,06:00 - 06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T06:00:00
2026-07-13,AT,06:15 - 06:30,99.73,115.23,115.23,114.16,1.1,0.0,0.6,2026-07-13T06:15:00
2026-07-13,AT,06:30 - 06:45,97.1,113.56,110.36,111.37,1.3,0.0,0.7,2026-07-13T06:30:00
2026-07-13,AT,06:45 - 07:00,107.57,114.0,114.0,108.85,2.5,0.0,1.3,2026-07-13T06:45:00
2026-07-13,AT,07:00 - 07:15,94.1,115.46,94.1,107.92,1.4,0.0,0.7,2026-07-13T07:00:00
2026-07-13,AT,07:15 - 07:30,112.77,150.0,150.0,113.92,1.1,0.0,0.6,2026-07-13T07:15:00
2026-07-13,AT,07:30 - 07:45,92.1,110.41,110.41,98.2,0.0,0.1,0.1,2026-07-13T07:30:00
2026-07-13,AT,07:45 - 08:00,87.58,98.56,98.13,96.92,1.6,0.0,0.8,2026-07-13T07:45:00
2026-07-13,AT,08:00 - 08:15,104.6,104.6,104.6,104.6,1.3,0.0,0.7,2026-07-13T08:00:00
2026-07-13,AT,08:15 - 08:30,79.27,96.69,96.69,95.84,1.0,0.0,0.5,2026-07-13T08:15:00
2026-07-13,AT,08:30 - 08:45,70.29,74.72,74.72,70.35,0.0,1.8,0.9,2026-07-13T08:30:00
2026-07-13,AT,08:45 - 09:00,31.9,31.9,31.9,31.9,0.0,0.0,0.0,2026-07-13T08:45:00
2026-07-13,AT,09:00 - 09:15,21.83,21.83,21.83,21.83,0.0,0.1,0.1,2026-07-13T09:00:00
2026-07-13,AT,09:15 - 09:30,8.03,8.03,8.03,8.03,0.0,0.3,0.2,2026-07-13T09:15:00
2026-07-13,AT,09:30 - 09:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T09:30:00
2026-07-13,AT,09:45 - 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T09:45:00
2026-07-13,AT,10:00 - 10:15,1.21,2.3,2.3,1.37,0.5,0.0,0.3,2026-07-13T10:00:00
2026-07-13,AT,10:15 - 10:30,0.56,2.38,0.56,2.03,0.4,0.0,0.2,2026-07-13T10:15:00
2026-07-13,AT,10:30 - 10:45,-2.1,4.24,-2.1,0.47,0.3,0.8,0.6,2026-07-13T10:30:00
2026-07-13,AT,10:45 - 11:00,-0.69,-0.39,-0.69,-0.6,2.6,0.0,1.3,2026-07-13T10:45:00
2026-07-13,AT,11:00 - 11:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T11:00:00
2026-07-13,AT,11:15 - 11:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T11:15:00
2026-07-13,AT,11:30 - 11:45,-2.23,-1.37,-2.23,-1.85,1.3,0.0,0.7,2026-07-13T11:30:00
2026-07-13,AT,11:45 - 12:00,-2.09,-2.09,-2.09,-2.09,0.3,0.0,0.2,2026-07-13T11:45:00
2026-07-13,AT,12:00 - 12:15,-3.49,-3.32,-3.32,-3.46,0.8,0.2,0.5,2026-07-13T12:00:00
2026-07-13,AT,12:15 - 12:30,-3.72,-3.09,-3.5,-3.24,2.4,0.0,1.2,2026-07-13T12:15:00
2026-07-13,AT,12:30 - 12:45,-7.26,-3.93,-7.01,-5.79,2.6,0.0,1.3,2026-07-13T12:30:00
2026-07-13,AT,12:45 - 13:00,-4.02,-4.02,-4.02,-4.02,1.2,0.0,0.6,2026-07-13T12:45:00
2026-07-13,AT,13:00 - 13:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T13:00:00
2026-07-13,AT,13:15 - 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T13:15:00
2026-07-13,AT,13:30 - 13:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T13:30:00
2026-07-13,AT,13:45 - 14:00,-7.93,-7.85,-7.93,-7.87,0.0,0.4,0.2,2026-07-13T13:45:00
2026-07-13,AT,14:00 - 14:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T14:00:00
2026-07-13,AT,14:15 - 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T14:15:00
2026-07-13,AT,14:30 - 14:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T14:30:00
2026-07-13,AT,14:45 - 15:00,37.63,37.65,37.63,37.64,0.0,0.1,0.1,2026-07-13T14:45:00
2026-07-13,AT,15:00 - 15:15,-2.26,-1.5,-1.51,-1.72,2.1,0.0,1.1,2026-07-13T15:00:00
2026-07-13,AT,15:15 - 15:30,-1.99,-1.43,-1.89,-1.54,1.7,0.0,0.9,2026-07-13T15:15:00
2026-07-13,AT,15:30 - 15:45,-3.16,-1.55,-1.55,-1.58,1.3,0.0,0.7,2026-07-13T15:30:00
2026-07-13,AT,15:45 - 16:00,-0.73,-0.51,-0.51,-0.53,0.3,0.0,0.2,2026-07-13T15:45:00
2026-07-13,AT,16:00 - 16:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T16:00:00
2026-07-13,AT,16:15 - 16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T16:15:00
2026-07-13,AT,16:30 - 16:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-13T16:30:00
2026-07-13,AT,16:45 - 17:00,4.81,24.9,4.81,8.35,0.0,3.3,1.7,2026-07-13T16:45:00
