delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-13,BE,00:00 - 00:15,5.4,5.4,5.4,133.2,2026-07-13T00:00:00
2026-07-13,BE,00:15 - 00:30,6.5,6.8,6.8,131.94,2026-07-13T00:15:00
2026-07-13,BE,00:30 - 00:45,3.4,2.2,3.4,129.0,2026-07-13T00:30:00
2026-07-13,BE,00:45 - 01:00,6.5,2.8,6.5,126.53,2026-07-13T00:45:00
2026-07-13,BE,01:00 - 01:15,7.0,5.2,7.0,128.5,2026-07-13T01:00:00
2026-07-13,BE,01:15 - 01:30,8.4,6.3,8.4,124.6,2026-07-13T01:15:00
2026-07-13,BE,01:30 - 01:45,7.7,5.7,7.7,123.5,2026-07-13T01:30:00
2026-07-13,BE,01:45 - 02:00,6.8,7.6,7.6,119.92,2026-07-13T01:45:00
2026-07-13,BE,02:00 - 02:15,6.0,7.8,7.8,121.79,2026-07-13T02:00:00
2026-07-13,BE,02:15 - 02:30,7.8,8.1,8.1,119.5,2026-07-13T02:15:00
2026-07-13,BE,02:30 - 02:45,6.1,8.1,8.1,119.7,2026-07-13T02:30:00
2026-07-13,BE,02:45 - 03:00,7.9,5.1,7.9,119.7,2026-07-13T02:45:00
2026-07-13,BE,03:00 - 03:15,4.2,9.3,9.3,120.18,2026-07-13T03:00:00
2026-07-13,BE,03:15 - 03:30,4.2,6.4,6.4,120.0,2026-07-13T03:15:00
2026-07-13,BE,03:30 - 03:45,4.2,4.7,4.7,121.44,2026-07-13T03:30:00
2026-07-13,BE,03:45 - 04:00,5.2,3.8,5.2,121.99,2026-07-13T03:45:00
2026-07-13,BE,04:00 - 04:15,4.2,6.9,6.9,120.5,2026-07-13T04:00:00
2026-07-13,BE,04:15 - 04:30,8.2,3.4,8.2,122.2,2026-07-13T04:15:00
2026-07-13,BE,04:30 - 04:45,7.9,2.0,7.9,124.75,2026-07-13T04:30:00
2026-07-13,BE,04:45 - 05:00,6.7,5.8,6.7,127.29,2026-07-13T04:45:00
2026-07-13,BE,05:00 - 05:15,9.6,4.3,9.6,129.0,2026-07-13T05:00:00
2026-07-13,BE,05:15 - 05:30,9.2,4.1,9.2,131.66,2026-07-13T05:15:00
2026-07-13,BE,05:30 - 05:45,9.2,6.1,9.2,137.86,2026-07-13T05:30:00
