delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-13,CH,00 - 01,27464.1,19666.5,27464.1,137.44,2026-07-13T00:00:00
2026-07-13,CH,01 - 02,27091.5,19618.3,27091.5,131.89,2026-07-13T01:00:00
2026-07-13,CH,02 - 03,26750.0,19488.0,26750.0,125.57,2026-07-13T02:00:00
2026-07-13,CH,03 - 04,26273.1,19204.1,26273.1,125.1,2026-07-13T03:00:00
2026-07-13,CH,04 - 05,26232.9,18896.4,26232.9,122.88,2026-07-13T04:00:00
2026-07-13,CH,05 - 06,26698.5,19735.8,26698.5,119.92,2026-07-13T05:00:00
2026-07-13,CH,06 - 07,27148.7,21215.3,27148.7,111.61,2026-07-13T06:00:00
2026-07-13,CH,07 - 08,27881.4,25051.0,27881.4,99.78,2026-07-13T07:00:00
2026-07-13,CH,08 - 09,31460.2,33065.4,33065.4,62.12,2026-07-13T08:00:00
2026-07-13,CH,09 - 10,33169.8,40872.1,40872.1,5.39,2026-07-13T09:00:00
2026-07-13,CH,10 - 11,34380.8,47951.5,47951.5,-0.05,2026-07-13T10:00:00
2026-07-13,CH,11 - 12,36251.1,52534.1,52534.1,-2.17,2026-07-13T11:00:00
2026-07-13,CH,12 - 13,37085.2,55101.3,55101.3,-7.16,2026-07-13T12:00:00
2026-07-13,CH,13 - 14,37137.2,55646.1,55646.1,-10.71,2026-07-13T13:00:00
2026-07-13,CH,14 - 15,36371.9,54202.7,54202.7,-10.06,2026-07-13T14:00:00
2026-07-13,CH,15 - 16,35542.0,51197.5,51197.5,-5.91,2026-07-13T15:00:00
2026-07-13,CH,16 - 17,34892.5,46013.5,46013.5,-2.69,2026-07-13T16:00:00
2026-07-13,CH,17 - 18,32724.4,38069.2,38069.2,7.63,2026-07-13T17:00:00
2026-07-13,CH,18 - 19,30483.8,30672.4,30672.4,93.43,2026-07-13T18:00:00
2026-07-13,CH,19 - 20,30393.6,25443.4,30393.6,131.81,2026-07-13T19:00:00
2026-07-13,CH,20 - 21,30805.3,23398.6,30805.3,140.9,2026-07-13T20:00:00
2026-07-13,CH,21 - 22,30498.0,23416.6,30498.0,144.49,2026-07-13T21:00:00
2026-07-13,CH,22 - 23,30054.0,23025.3,30054.0,144.93,2026-07-13T22:00:00
2026-07-13,CH,23 - 24,29126.7,22186.2,29126.7,139.32,2026-07-13T23:00:00
