delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-12,GB,00:00 - 00:30,94.9,508.1,508.1,114.29,2026-07-12T00:00:00
2026-07-12,GB,00:30 - 01:00,110.1,493.3,493.3,111.0,2026-07-12T00:30:00
2026-07-12,GB,01:00 - 01:30,120.7,494.3,494.3,108.7,2026-07-12T01:00:00
2026-07-12,GB,01:30 - 02:00,135.1,506.9,506.9,107.9,2026-07-12T01:30:00
2026-07-12,GB,02:00 - 02:30,178.7,531.4,531.4,102.83,2026-07-12T02:00:00
2026-07-12,GB,02:30 - 03:00,134.2,515.6,515.6,107.8,2026-07-12T02:30:00
2026-07-12,GB,03:00 - 03:30,119.4,512.6,512.6,105.77,2026-07-12T03:00:00
2026-07-12,GB,03:30 - 04:00,120.8,497.8,497.8,105.71,2026-07-12T03:30:00
2026-07-12,GB,04:00 - 04:30,98.1,470.1,470.1,106.03,2026-07-12T04:00:00
2026-07-12,GB,04:30 - 05:00,85.0,459.3,459.3,105.29,2026-07-12T04:30:00
2026-07-12,GB,05:00 - 05:30,67.6,495.7,495.7,104.0,2026-07-12T05:00:00
2026-07-12,GB,05:30 - 06:00,56.4,481.0,481.0,103.96,2026-07-12T05:30:00
2026-07-12,GB,06:00 - 06:30,73.3,508.5,508.5,102.74,2026-07-12T06:00:00
2026-07-12,GB,06:30 - 07:00,80.0,502.7,502.7,96.08,2026-07-12T06:30:00
2026-07-12,GB,07:00 - 07:30,66.8,540.1,540.1,87.23,2026-07-12T07:00:00
2026-07-12,GB,07:30 - 08:00,82.4,648.3,648.3,92.01,2026-07-12T07:30:00
2026-07-12,GB,08:00 - 08:30,162.9,628.5,628.5,45.92,2026-07-12T08:00:00
2026-07-12,GB,08:30 - 09:00,162.9,581.0,581.0,35.88,2026-07-12T08:30:00
2026-07-12,GB,09:00 - 09:30,144.3,581.4,581.4,20.0,2026-07-12T09:00:00
2026-07-12,GB,09:30 - 10:00,188.8,618.9,618.9,10.0,2026-07-12T09:30:00
2026-07-12,GB,10:00 - 10:30,134.5,571.0,571.0,16.0,2026-07-12T10:00:00
2026-07-12,GB,10:30 - 11:00,144.4,577.4,577.4,12.32,2026-07-12T10:30:00
2026-07-12,GB,11:00 - 11:30,147.5,611.9,611.9,7.63,2026-07-12T11:00:00
2026-07-12,GB,11:30 - 12:00,148.2,575.2,575.2,7.0,2026-07-12T11:30:00
2026-07-12,GB,12:00 - 12:30,155.5,608.8,608.8,7.0,2026-07-12T12:00:00
2026-07-12,GB,12:30 - 13:00,202.2,595.7,595.7,7.0,2026-07-12T12:30:00
2026-07-12,GB,13:00 - 13:30,148.9,568.9,568.9,4.63,2026-07-12T13:00:00
2026-07-12,GB,13:30 - 14:00,155.7,566.8,566.8,3.53,2026-07-12T13:30:00
2026-07-12,GB,14:00 - 14:30,127.6,601.0,601.0,6.8,2026-07-12T14:00:00
2026-07-12,GB,14:30 - 15:00,164.0,571.8,571.8,5.3,2026-07-12T14:30:00
2026-07-12,GB,15:00 - 15:30,169.0,576.4,576.4,6.2,2026-07-12T15:00:00
2026-07-12,GB,15:30 - 16:00,177.3,554.5,554.5,4.07,2026-07-12T15:30:00
2026-07-12,GB,16:00 - 16:30,185.8,549.8,549.8,5.38,2026-07-12T16:00:00
2026-07-12,GB,16:30 - 17:00,160.3,529.8,529.8,6.33,2026-07-12T16:30:00
2026-07-12,GB,17:00 - 17:30,164.3,550.2,550.2,12.83,2026-07-12T17:00:00
2026-07-12,GB,17:30 - 18:00,164.6,460.1,460.1,31.45,2026-07-12T17:30:00
2026-07-12,GB,18:00 - 18:30,174.5,454.7,454.7,56.0,2026-07-12T18:00:00
2026-07-12,GB,18:30 - 19:00,152.0,480.7,480.7,70.0,2026-07-12T18:30:00
2026-07-12,GB,19:00 - 19:30,175.7,400.3,400.3,102.98,2026-07-12T19:00:00
2026-07-12,GB,19:30 - 20:00,137.9,425.3,425.3,107.0,2026-07-12T19:30:00
2026-07-12,GB,20:00 - 20:30,67.0,437.7,437.7,120.21,2026-07-12T20:00:00
2026-07-12,GB,20:30 - 21:00,92.5,527.8,527.8,121.43,2026-07-12T20:30:00
2026-07-12,GB,21:00 - 21:30,68.1,533.2,533.2,123.0,2026-07-12T21:00:00
2026-07-12,GB,21:30 - 22:00,46.0,499.5,499.5,123.23,2026-07-12T21:30:00
2026-07-12,GB,22:00 - 22:30,64.1,530.0,530.0,124.0,2026-07-12T22:00:00
2026-07-12,GB,22:30 - 23:00,69.9,463.2,463.2,123.11,2026-07-12T22:30:00
2026-07-12,GB,23:00 - 23:30,51.0,434.8,434.8,120.62,2026-07-12T23:00:00
2026-07-12,GB,23:30 - 24:00,63.0,414.9,414.9,115.01,2026-07-12T23:30:00
