delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-12,GB,00 - 01,95.11,250.0,250.0,133.85,133.85,131.82,131.05,1049.1,818.2,933.7,2026-07-12T00:00:00
2026-07-12,GB,01 - 02,113.71,155.0,155.0,135.39,135.39,136.51,134.63,812.3,601.5,706.9,2026-07-12T01:00:00
2026-07-12,GB,02 - 03,89.3,148.8,105.0,127.09,127.09,107.79,122.54,1137.8,1329.6,1233.7,2026-07-12T02:00:00
2026-07-12,GB,03 - 04,82.01,145.32,110.01,115.75,115.75,96.22,109.88,1077.8,1500.0,1288.9,2026-07-12T03:00:00
2026-07-12,GB,04 - 05,97.82,143.56,119.0,116.96,116.96,119.95,113.41,672.4,717.3,694.9,2026-07-12T04:00:00
2026-07-12,GB,05 - 06,119.0,147.89,141.83,133.34,133.34,138.62,134.21,711.6,584.7,648.2,2026-07-12T05:00:00
2026-07-12,GB,06 - 07,115.08,156.01,120.0,141.35,141.35,121.06,139.24,901.3,911.5,906.4,2026-07-12T06:00:00
2026-07-12,GB,07 - 08,139.02,153.8,141.89,145.39,145.39,143.83,144.86,783.3,820.2,801.8,2026-07-12T07:00:00
2026-07-12,GB,08 - 09,130.0,151.0,150.0,140.9,140.9,141.3,141.16,1167.1,1405.9,1286.5,2026-07-12T08:00:00
2026-07-12,GB,09 - 10,99.0,155.0,150.01,115.32,115.32,143.17,115.17,936.9,1443.6,1190.3,2026-07-12T09:00:00
2026-07-12,GB,10 - 11,23.0,136.19,80.01,95.97,95.97,78.92,96.4,1792.8,1660.1,1726.5,2026-07-12T10:00:00
2026-07-12,GB,11 - 12,5.02,122.08,19.88,56.77,56.77,24.14,50.41,2119.5,2953.5,2536.5,2026-07-12T11:00:00
2026-07-12,GB,12 - 13,-29.88,103.94,10.0,41.62,41.62,-0.96,30.89,3711.1,4466.4,4088.8,2026-07-12T12:00:00
2026-07-12,GB,13 - 14,-17.32,88.1,0.0,23.22,23.22,0.67,15.86,3248.5,4055.1,3651.8,2026-07-12T13:00:00
2026-07-12,GB,14 - 15,-9.0,90.89,1.62,23.11,23.11,12.32,16.87,3224.0,3440.0,3332.0,2026-07-12T14:00:00
2026-07-12,GB,15 - 16,-5.97,70.5,-5.97,36.95,36.95,17.26,31.0,3353.3,4213.9,3783.6,2026-07-12T15:00:00
2026-07-12,GB,16 - 17,28.05,90.96,60.0,64.63,64.63,56.58,60.29,2533.5,3354.1,2943.8,2026-07-12T16:00:00
2026-07-12,GB,17 - 18,52.12,123.56,65.55,108.56,108.56,87.4,109.02,2045.5,1749.0,1897.3,2026-07-12T17:00:00
2026-07-12,GB,18 - 19,87.0,176.08,176.08,135.74,135.74,144.89,135.44,3027.3,2952.1,2989.7,2026-07-12T18:00:00
2026-07-12,GB,19 - 20,126.92,228.5,210.0,159.55,159.55,192.5,162.74,3804.1,2870.9,3337.5,2026-07-12T19:00:00
2026-07-12,GB,20 - 21,101.0,194.12,140.0,166.26,166.26,152.12,170.56,3740.5,3177.1,3458.8,2026-07-12T20:00:00
2026-07-12,GB,21 - 22,139.0,199.9,154.84,165.96,165.96,172.35,166.56,4231.1,2635.6,3433.4,2026-07-12T21:00:00
2026-07-12,GB,22 - 23,125.23,195.36,193.0,165.23,165.23,167.91,161.85,5087.7,3042.3,4065.0,2026-07-12T22:00:00
2026-07-12,GB,23 - 24,143.51,189.96,189.96,152.24,152.24,149.61,149.61,4264.5,2208.7,3236.6,2026-07-12T23:00:00
