delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-13,GB,00:00 - 00:15,363.7,148.5,363.7,131.94,2026-07-13T00:00:00
2026-07-13,GB,00:15 - 00:30,362.9,147.6,362.9,130.0,2026-07-13T00:15:00
2026-07-13,GB,00:30 - 00:45,352.2,144.0,352.2,129.41,2026-07-13T00:30:00
2026-07-13,GB,00:45 - 01:00,347.2,144.0,347.2,127.57,2026-07-13T00:45:00
2026-07-13,GB,01:00 - 01:15,364.2,154.6,364.2,128.42,2026-07-13T01:00:00
2026-07-13,GB,01:15 - 01:30,357.7,149.0,357.7,124.17,2026-07-13T01:15:00
2026-07-13,GB,01:30 - 01:45,355.2,147.5,355.2,123.7,2026-07-13T01:30:00
2026-07-13,GB,01:45 - 02:00,347.8,144.8,347.8,121.59,2026-07-13T01:45:00
2026-07-13,GB,02:00 - 02:15,366.0,126.3,366.0,122.93,2026-07-13T02:00:00
2026-07-13,GB,02:15 - 02:30,360.7,123.6,360.7,119.25,2026-07-13T02:15:00
2026-07-13,GB,02:30 - 02:45,355.1,125.0,355.1,118.96,2026-07-13T02:30:00
2026-07-13,GB,02:45 - 03:00,347.5,125.3,347.5,120.5,2026-07-13T02:45:00
2026-07-13,GB,03:00 - 03:15,345.1,139.6,345.1,119.7,2026-07-13T03:00:00
2026-07-13,GB,03:15 - 03:30,336.1,140.4,336.1,120.0,2026-07-13T03:15:00
2026-07-13,GB,03:30 - 03:45,330.9,140.9,330.9,121.92,2026-07-13T03:30:00
2026-07-13,GB,03:45 - 04:00,322.3,141.6,322.3,123.48,2026-07-13T03:45:00
2026-07-13,GB,04:00 - 04:15,310.3,200.3,310.3,118.68,2026-07-13T04:00:00
2026-07-13,GB,04:15 - 04:30,304.0,198.8,304.0,122.74,2026-07-13T04:15:00
2026-07-13,GB,04:30 - 04:45,297.7,205.4,297.7,125.75,2026-07-13T04:30:00
2026-07-13,GB,04:45 - 05:00,293.8,205.9,293.8,126.84,2026-07-13T04:45:00
2026-07-13,GB,05:00 - 05:15,292.9,301.7,301.7,126.2,2026-07-13T05:00:00
2026-07-13,GB,05:15 - 05:30,291.7,306.6,306.6,130.09,2026-07-13T05:15:00
2026-07-13,GB,05:30 - 05:45,295.2,314.3,314.3,136.74,2026-07-13T05:30:00
2026-07-13,GB,05:45 - 06:00,307.7,318.5,318.5,142.51,2026-07-13T05:45:00
2026-07-13,GB,06:00 - 06:15,308.4,413.2,413.2,144.35,2026-07-13T06:00:00
2026-07-13,GB,06:15 - 06:30,317.6,424.4,424.4,151.6,2026-07-13T06:15:00
2026-07-13,GB,06:30 - 06:45,329.7,430.1,430.1,150.31,2026-07-13T06:30:00
2026-07-13,GB,06:45 - 07:00,350.4,437.5,437.5,150.52,2026-07-13T06:45:00
2026-07-13,GB,07:00 - 07:15,374.5,386.9,386.9,167.44,2026-07-13T07:00:00
2026-07-13,GB,07:15 - 07:30,391.6,401.1,401.1,163.3,2026-07-13T07:15:00
2026-07-13,GB,07:30 - 07:45,401.5,415.9,415.9,152.48,2026-07-13T07:30:00
2026-07-13,GB,07:45 - 08:00,415.5,425.1,425.1,143.51,2026-07-13T07:45:00
2026-07-13,GB,08:00 - 08:15,468.9,202.9,468.9,151.44,2026-07-13T08:00:00
2026-07-13,GB,08:15 - 08:30,485.1,229.5,485.1,146.29,2026-07-13T08:15:00
2026-07-13,GB,08:30 - 08:45,496.2,248.5,496.2,131.01,2026-07-13T08:30:00
2026-07-13,GB,08:45 - 09:00,503.2,274.3,503.2,127.21,2026-07-13T08:45:00
2026-07-13,GB,09:00 - 09:15,651.9,246.6,651.9,142.95,2026-07-13T09:00:00
2026-07-13,GB,09:15 - 09:30,651.8,261.5,651.8,130.13,2026-07-13T09:15:00
2026-07-13,GB,09:30 - 09:45,673.9,281.1,673.9,114.52,2026-07-13T09:30:00
2026-07-13,GB,09:45 - 10:00,682.7,296.5,682.7,102.88,2026-07-13T09:45:00
2026-07-13,GB,10:00 - 10:15,782.3,327.0,782.3,118.99,2026-07-13T10:00:00
2026-07-13,GB,10:15 - 10:30,797.9,338.3,797.9,103.64,2026-07-13T10:15:00
2026-07-13,GB,10:30 - 10:45,799.9,350.6,799.9,95.66,2026-07-13T10:30:00
2026-07-13,GB,10:45 - 11:00,800.6,359.7,800.6,81.37,2026-07-13T10:45:00
2026-07-13,GB,11:00 - 11:15,755.4,325.7,755.4,87.41,2026-07-13T11:00:00
2026-07-13,GB,11:15 - 11:30,764.9,336.3,764.9,78.66,2026-07-13T11:15:00
2026-07-13,GB,11:30 - 11:45,764.6,341.8,764.6,70.0,2026-07-13T11:30:00
2026-07-13,GB,11:45 - 12:00,763.7,348.3,763.7,59.93,2026-07-13T11:45:00
2026-07-13,GB,12:00 - 12:15,801.4,367.9,801.4,63.83,2026-07-13T12:00:00
2026-07-13,GB,12:15 - 12:30,806.6,363.0,806.6,51.74,2026-07-13T12:15:00
2026-07-13,GB,12:30 - 12:45,810.1,361.8,810.1,44.24,2026-07-13T12:30:00
2026-07-13,GB,12:45 - 13:00,824.6,358.2,824.6,41.49,2026-07-13T12:45:00
2026-07-13,GB,13:00 - 13:15,789.9,368.5,789.9,56.56,2026-07-13T13:00:00
2026-07-13,GB,13:15 - 13:30,786.5,368.9,786.5,60.17,2026-07-13T13:15:00
2026-07-13,GB,13:30 - 13:45,785.1,370.5,785.1,51.47,2026-07-13T13:30:00
2026-07-13,GB,13:45 - 14:00,784.6,370.7,784.6,55.62,2026-07-13T13:45:00
2026-07-13,GB,14:00 - 14:15,767.3,364.3,767.3,47.08,2026-07-13T14:00:00
2026-07-13,GB,14:15 - 14:30,770.5,370.2,770.5,59.1,2026-07-13T14:15:00
2026-07-13,GB,14:30 - 14:45,768.2,371.7,768.2,54.06,2026-07-13T14:30:00
2026-07-13,GB,14:45 - 15:00,766.6,371.6,766.6,60.11,2026-07-13T14:45:00
2026-07-13,GB,15:00 - 15:15,791.7,343.5,791.7,42.89,2026-07-13T15:00:00
2026-07-13,GB,15:15 - 15:30,790.4,345.1,790.4,56.1,2026-07-13T15:15:00
2026-07-13,GB,15:30 - 15:45,780.2,338.5,780.2,67.14,2026-07-13T15:30:00
2026-07-13,GB,15:45 - 16:00,767.5,335.3,767.5,83.11,2026-07-13T15:45:00
2026-07-13,GB,16:00 - 16:15,625.0,363.5,625.0,68.67,2026-07-13T16:00:00
2026-07-13,GB,16:15 - 16:30,605.0,359.2,605.0,91.46,2026-07-13T16:15:00
2026-07-13,GB,16:30 - 16:45,612.7,347.2,612.7,94.97,2026-07-13T16:30:00
2026-07-13,GB,16:45 - 17:00,625.5,329.3,625.5,106.25,2026-07-13T16:45:00
2026-07-13,GB,17:00 - 17:15,520.3,393.5,520.3,97.52,2026-07-13T17:00:00
